entity,perturbation_type,fact_type,true_value,wrong_value,question,correct_statement,false_premise
Abbey Road,categorical,work_genre_categorical,rock music,documentary film,"Within the specific conventions of documentary film, how is the narrative structure of Abbey Road analyzed?","No, Abbey Road is a work of rock music, not documentary film. It would not be analyzed under documentary film conventions.",The question incorrectly states documentary film instead of the correct value rock music.
Abdulrazak Gurnah,categorical,work_genre_categorical,prose,bounce music,"Within the specific conventions of bounce music, how is the narrative structure of Abdulrazak Gurnah analyzed?","No, Abdulrazak Gurnah is a work of prose, not bounce music. It would not be analyzed under bounce music conventions.",The question incorrectly states bounce music instead of the correct value prose.
A Beautiful Mind,categorical,work_genre_categorical,biographical film,drama fiction,"Within the specific conventions of drama fiction, how is the narrative structure of A Beautiful Mind analyzed?","No, A Beautiful Mind is a work of biographical film, not drama fiction. It would not be analyzed under drama fiction conventions.",The question incorrectly states drama fiction instead of the correct value biographical film.
Abraham Ortelius,categorical,work_genre_categorical,map,children's and young adult literature,"Within the specific conventions of children's and young adult literature, how is the narrative structure of Abraham Ortelius analyzed?","No, Abraham Ortelius is a work of map, not children's and young adult literature. It would not be analyzed under children's and young adult literature conventions.",The question incorrectly states children's and young adult literature instead of the correct value map.
A Brief History of Time,categorical,work_genre_categorical,essay,invasion literature,"Within the specific conventions of invasion literature, how is the narrative structure of A Brief History of Time analyzed?","No, A Brief History of Time is a work of essay, not invasion literature. It would not be analyzed under invasion literature conventions.",The question incorrectly states invasion literature instead of the correct value essay.
A Bug's Life,categorical,work_genre_categorical,adventure film,kundiman,"Within the specific conventions of kundiman, how is the narrative structure of A Bug's Life analyzed?","No, A Bug's Life is a work of adventure film, not kundiman. It would not be analyzed under kundiman conventions.",The question incorrectly states kundiman instead of the correct value adventure film.
Abu Nuwas,categorical,work_genre_categorical,poetry,incidental music,"Within the specific conventions of incidental music, how is the narrative structure of Abu Nuwas analyzed?","No, Abu Nuwas is a work of poetry, not incidental music. It would not be analyzed under incidental music conventions.",The question incorrectly states incidental music instead of the correct value poetry.
AC/DC,categorical,work_genre_categorical,blues rock,anime song,"Within the specific conventions of anime song, how is the narrative structure of AC/DC analyzed?","No, AC/DC is a work of blues rock, not anime song. It would not be analyzed under anime song conventions.",The question incorrectly states anime song instead of the correct value blues rock.
Ace of Base,categorical,work_genre_categorical,dance-pop,garage rock,"Within the specific conventions of garage rock, how is the narrative structure of Ace of Base analyzed?","No, Ace of Base is a work of dance-pop, not garage rock. It would not be analyzed under garage rock conventions.",The question incorrectly states garage rock instead of the correct value dance-pop.
Ace Ventura: Pet Detective,categorical,work_genre_categorical,action film,outlaw country,"Within the specific conventions of outlaw country, how is the narrative structure of Ace Ventura: Pet Detective analyzed?","No, Ace Ventura: Pet Detective is a work of action film, not outlaw country. It would not be analyzed under outlaw country conventions.",The question incorrectly states outlaw country instead of the correct value action film.
A Christmas Carol,categorical,work_genre_categorical,Christmas fiction,chipmunk soul,"Within the specific conventions of chipmunk soul, how is the narrative structure of A Christmas Carol analyzed?","No, A Christmas Carol is a work of Christmas fiction, not chipmunk soul. It would not be analyzed under chipmunk soul conventions.",The question incorrectly states chipmunk soul instead of the correct value Christmas fiction.
A Clockwork Orange,categorical,work_genre_categorical,action film,jazz rap,"Within the specific conventions of jazz rap, how is the narrative structure of A Clockwork Orange analyzed?","No, A Clockwork Orange is a work of action film, not jazz rap. It would not be analyzed under jazz rap conventions.",The question incorrectly states jazz rap instead of the correct value action film.
Acts of the Apostles,categorical,work_genre_categorical,acts of the apostles,children's literature,"Within the specific conventions of children's literature, how is the narrative structure of Acts of the Apostles analyzed?","No, Acts of the Apostles is a work of acts of the apostles, not children's literature. It would not be analyzed under children's literature conventions.",The question incorrectly states children's literature instead of the correct value acts of the apostles.
Adam Lambert,categorical,work_genre_categorical,dance-pop,indie rock,"Within the specific conventions of indie rock, how is the narrative structure of Adam Lambert analyzed?","No, Adam Lambert is a work of dance-pop, not indie rock. It would not be analyzed under indie rock conventions.",The question incorrectly states indie rock instead of the correct value dance-pop.
Adam Levine,categorical,work_genre_categorical,pop rock,image sharing,"Within the specific conventions of image sharing, how is the narrative structure of Adam Levine analyzed?","No, Adam Levine is a work of pop rock, not image sharing. It would not be analyzed under image sharing conventions.",The question incorrectly states image sharing instead of the correct value pop rock.
Adam Mickiewicz,categorical,work_genre_categorical,essay,biographical television program,"Within the specific conventions of biographical television program, how is the narrative structure of Adam Mickiewicz analyzed?","No, Adam Mickiewicz is a work of essay, not biographical television program. It would not be analyzed under biographical television program conventions.",The question incorrectly states biographical television program instead of the correct value essay.
Adele,categorical,work_genre_categorical,blue-eyed soul,colossal statue,"Within the specific conventions of colossal statue, how is the narrative structure of Adele analyzed?","No, Adele is a work of blue-eyed soul, not colossal statue. It would not be analyzed under colossal statue conventions.",The question incorrectly states colossal statue instead of the correct value blue-eyed soul.
Adolphe Adam,categorical,work_genre_categorical,classical music,Hari Raya music,"Within the specific conventions of Hari Raya music, how is the narrative structure of Adolphe Adam analyzed?","No, Adolphe Adam is a work of classical music, not Hari Raya music. It would not be analyzed under Hari Raya music conventions.",The question incorrectly states Hari Raya music instead of the correct value classical music.
Adriano Celentano,categorical,work_genre_categorical,easy listening,novel sequence,"Within the specific conventions of novel sequence, how is the narrative structure of Adriano Celentano analyzed?","No, Adriano Celentano is a work of easy listening, not novel sequence. It would not be analyzed under novel sequence conventions.",The question incorrectly states novel sequence instead of the correct value easy listening.
Advance Australia Fair,categorical,work_genre_categorical,anthem,Armenian folk music,"Within the specific conventions of Armenian folk music, how is the narrative structure of Advance Australia Fair analyzed?","No, Advance Australia Fair is a work of anthem, not Armenian folk music. It would not be analyzed under Armenian folk music conventions.",The question incorrectly states Armenian folk music instead of the correct value anthem.
Adventures of Huckleberry Finn,categorical,work_genre_categorical,adventure fiction,magical girl,"Within the specific conventions of magical girl, how is the narrative structure of Adventures of Huckleberry Finn analyzed?","No, Adventures of Huckleberry Finn is a work of adventure fiction, not magical girl. It would not be analyzed under magical girl conventions.",The question incorrectly states magical girl instead of the correct value adventure fiction.
Adventure Time,categorical,work_genre_categorical,action television series,blue-eyed soul,"Within the specific conventions of blue-eyed soul, how is the narrative structure of Adventure Time analyzed?","No, Adventure Time is a work of action television series, not blue-eyed soul. It would not be analyzed under blue-eyed soul conventions.",The question incorrectly states blue-eyed soul instead of the correct value action television series.
Aegukga,categorical,work_genre_categorical,anthem,epic film,"Within the specific conventions of epic film, how is the narrative structure of Aegukga analyzed?","No, Aegukga is a work of anthem, not epic film. It would not be analyzed under epic film conventions.",The question incorrectly states epic film instead of the correct value anthem.
Aegukka,categorical,work_genre_categorical,anthem,Hi-NRG,"Within the specific conventions of Hi-NRG, how is the narrative structure of Aegukka analyzed?","No, Aegukka is a work of anthem, not Hi-NRG. It would not be analyzed under Hi-NRG conventions.",The question incorrectly states Hi-NRG instead of the correct value anthem.
Aeneid,categorical,work_genre_categorical,epic literature,Anglo-Saxon art,"Within the specific conventions of Anglo-Saxon art, how is the narrative structure of Aeneid analyzed?","No, Aeneid is a work of epic literature, not Anglo-Saxon art. It would not be analyzed under Anglo-Saxon art conventions.",The question incorrectly states Anglo-Saxon art instead of the correct value epic literature.
Aerosmith,categorical,work_genre_categorical,blues rock,dubstep,"Within the specific conventions of dubstep, how is the narrative structure of Aerosmith analyzed?","No, Aerosmith is a work of blues rock, not dubstep. It would not be analyzed under dubstep conventions.",The question incorrectly states dubstep instead of the correct value blues rock.
Aeschylus,categorical,work_genre_categorical,Greek tragedy,gore film,"Within the specific conventions of gore film, how is the narrative structure of Aeschylus analyzed?","No, Aeschylus is a work of Greek tragedy, not gore film. It would not be analyzed under gore film conventions.",The question incorrectly states gore film instead of the correct value Greek tragedy.
Aesop's Fables,categorical,work_genre_categorical,fable,neo-classical metal,"Within the specific conventions of neo-classical metal, how is the narrative structure of Aesop's Fables analyzed?","No, Aesop's Fables is a work of fable, not neo-classical metal. It would not be analyzed under neo-classical metal conventions.",The question incorrectly states neo-classical metal instead of the correct value fable.
A Farewell to Arms,categorical,work_genre_categorical,war novel,period novel,"Within the specific conventions of period novel, how is the narrative structure of A Farewell to Arms analyzed?","No, A Farewell to Arms is a work of war novel, not period novel. It would not be analyzed under period novel conventions.",The question incorrectly states period novel instead of the correct value war novel.
A Fistful of Dollars,categorical,work_genre_categorical,action film,acid rock,"Within the specific conventions of acid rock, how is the narrative structure of A Fistful of Dollars analyzed?","No, A Fistful of Dollars is a work of action film, not acid rock. It would not be analyzed under acid rock conventions.",The question incorrectly states acid rock instead of the correct value action film.
A Game of Thrones,categorical,work_genre_categorical,fantasy,avant-garde music,"Within the specific conventions of avant-garde music, how is the narrative structure of A Game of Thrones analyzed?","No, A Game of Thrones is a work of fantasy, not avant-garde music. It would not be analyzed under avant-garde music conventions.",The question incorrectly states avant-garde music instead of the correct value fantasy.
Agatha Christie,categorical,work_genre_categorical,adventure fiction,new wave of British heavy metal,"Within the specific conventions of new wave of British heavy metal, how is the narrative structure of Agatha Christie analyzed?","No, Agatha Christie is a work of adventure fiction, not new wave of British heavy metal. It would not be analyzed under new wave of British heavy metal conventions.",The question incorrectly states new wave of British heavy metal instead of the correct value adventure fiction.
Age of Empires II: The Age of Kings,categorical,work_genre_categorical,historical video game,marine art,"Within the specific conventions of marine art, how is the narrative structure of Age of Empires II: The Age of Kings analyzed?","No, Age of Empires II: The Age of Kings is a work of historical video game, not marine art. It would not be analyzed under marine art conventions.",The question incorrectly states marine art instead of the correct value historical video game.
Agnetha Fältskog,categorical,work_genre_categorical,dansband music,defaced flag,"Within the specific conventions of defaced flag, how is the narrative structure of Agnetha Fältskog analyzed?","No, Agnetha Fältskog is a work of dansband music, not defaced flag. It would not be analyzed under defaced flag conventions.",The question incorrectly states defaced flag instead of the correct value dansband music.
Agnez Mo,categorical,work_genre_categorical,contemporary R&B,body horror film,"Within the specific conventions of body horror film, how is the narrative structure of Agnez Mo analyzed?","No, Agnez Mo is a work of contemporary R&B, not body horror film. It would not be analyzed under body horror film conventions.",The question incorrectly states body horror film instead of the correct value contemporary R&B.
"Aguirre, the Wrath of God",categorical,work_genre_categorical,adventure film,letopis,"Within the specific conventions of letopis, how is the narrative structure of Aguirre, the Wrath of God analyzed?","No, Aguirre, the Wrath of God is a work of adventure film, not letopis. It would not be analyzed under letopis conventions.",The question incorrectly states letopis instead of the correct value adventure film.
A Hard Day's Night,categorical,work_genre_categorical,pop rock,legal act,"Within the specific conventions of legal act, how is the narrative structure of A Hard Day's Night analyzed?","No, A Hard Day's Night is a work of pop rock, not legal act. It would not be analyzed under legal act conventions.",The question incorrectly states legal act instead of the correct value pop rock.
A.I. Artificial Intelligence,categorical,work_genre_categorical,drama film,political thriller film,"Within the specific conventions of political thriller film, how is the narrative structure of A.I. Artificial Intelligence analyzed?","No, A.I. Artificial Intelligence is a work of drama film, not political thriller film. It would not be analyzed under political thriller film conventions.",The question incorrectly states political thriller film instead of the correct value drama film.
Aida,categorical,work_genre_categorical,opera,café-chantant,"Within the specific conventions of café-chantant, how is the narrative structure of Aida analyzed?","No, Aida is a work of opera, not café-chantant. It would not be analyzed under café-chantant conventions.",The question incorrectly states café-chantant instead of the correct value opera.
Airat Ichmouratov,categorical,work_genre_categorical,classical music,folktronica,"Within the specific conventions of folktronica, how is the narrative structure of Airat Ichmouratov analyzed?","No, Airat Ichmouratov is a work of classical music, not folktronica. It would not be analyzed under folktronica conventions.",The question incorrectly states folktronica instead of the correct value classical music.
Ai Weiwei,categorical,work_genre_categorical,art of sculpture,astronaut photography,"Within the specific conventions of astronaut photography, how is the narrative structure of Ai Weiwei analyzed?","No, Ai Weiwei is a work of art of sculpture, not astronaut photography. It would not be analyzed under astronaut photography conventions.",The question incorrectly states astronaut photography instead of the correct value art of sculpture.
A Journey to the Centre of the Earth,categorical,work_genre_categorical,adventure,music television,"Within the specific conventions of music television, how is the narrative structure of A Journey to the Centre of the Earth analyzed?","No, A Journey to the Centre of the Earth is a work of adventure, not music television. It would not be analyzed under music television conventions.",The question incorrectly states music television instead of the correct value adventure.
AKB48,categorical,work_genre_categorical,bubblegum music,blaxploitation film,"Within the specific conventions of blaxploitation film, how is the narrative structure of AKB48 analyzed?","No, AKB48 is a work of bubblegum music, not blaxploitation film. It would not be analyzed under blaxploitation film conventions.",The question incorrectly states blaxploitation film instead of the correct value bubblegum music.
Akira Toriyama,categorical,work_genre_categorical,fantasy,manifesto,"Within the specific conventions of manifesto, how is the narrative structure of Akira Toriyama analyzed?","No, Akira Toriyama is a work of fantasy, not manifesto. It would not be analyzed under manifesto conventions.",The question incorrectly states manifesto instead of the correct value fantasy.
Akon,categorical,work_genre_categorical,contemporary R&B,bossa nova,"Within the specific conventions of bossa nova, how is the narrative structure of Akon analyzed?","No, Akon is a work of contemporary R&B, not bossa nova. It would not be analyzed under bossa nova conventions.",The question incorrectly states bossa nova instead of the correct value contemporary R&B.
Akseli Gallen-Kallela,categorical,work_genre_categorical,portrait,orchestral pop,"Within the specific conventions of orchestral pop, how is the narrative structure of Akseli Gallen-Kallela analyzed?","No, Akseli Gallen-Kallela is a work of portrait, not orchestral pop. It would not be analyzed under orchestral pop conventions.",The question incorrectly states orchestral pop instead of the correct value portrait.
Aladdin,categorical,work_genre_categorical,action film,gacha game,"Within the specific conventions of gacha game, how is the narrative structure of Aladdin analyzed?","No, Aladdin is a work of action film, not gacha game. It would not be analyzed under gacha game conventions.",The question incorrectly states gacha game instead of the correct value action film.
Alain Delon,categorical,work_genre_categorical,detective fiction,docudrama,"Within the specific conventions of docudrama, how is the narrative structure of Alain Delon analyzed?","No, Alain Delon is a work of detective fiction, not docudrama. It would not be analyzed under docudrama conventions.",The question incorrectly states docudrama instead of the correct value detective fiction.
Alanis Morissette,categorical,work_genre_categorical,alternative rock,miniature,"Within the specific conventions of miniature, how is the narrative structure of Alanis Morissette analyzed?","No, Alanis Morissette is a work of alternative rock, not miniature. It would not be analyzed under miniature conventions.",The question incorrectly states miniature instead of the correct value alternative rock.
Alan Moore,categorical,work_genre_categorical,comics,apologetics,"Within the specific conventions of apologetics, how is the narrative structure of Alan Moore analyzed?","No, Alan Moore is a work of comics, not apologetics. It would not be analyzed under apologetics conventions.",The question incorrectly states apologetics instead of the correct value comics.
Alan Rickman,categorical,work_genre_categorical,Shakespearean comedy,light music,"Within the specific conventions of light music, how is the narrative structure of Alan Rickman analyzed?","No, Alan Rickman is a work of Shakespearean comedy, not light music. It would not be analyzed under light music conventions.",The question incorrectly states light music instead of the correct value Shakespearean comedy.
Alan Silvestri,categorical,work_genre_categorical,blues,fiction,"Within the specific conventions of fiction, how is the narrative structure of Alan Silvestri analyzed?","No, Alan Silvestri is a work of blues, not fiction. It would not be analyzed under fiction conventions.",The question incorrectly states fiction instead of the correct value blues.
Alan Walker,categorical,work_genre_categorical,deep house,animated sitcom,"Within the specific conventions of animated sitcom, how is the narrative structure of Alan Walker analyzed?","No, Alan Walker is a work of deep house, not animated sitcom. It would not be analyzed under animated sitcom conventions.",The question incorrectly states animated sitcom instead of the correct value deep house.
Alban Berg,categorical,work_genre_categorical,opera,baroque pop,"Within the specific conventions of baroque pop, how is the narrative structure of Alban Berg analyzed?","No, Alban Berg is a work of opera, not baroque pop. It would not be analyzed under baroque pop conventions.",The question incorrectly states baroque pop instead of the correct value opera.
Albert Finney,categorical,work_genre_categorical,Shakespearean comedy,industrial music,"Within the specific conventions of industrial music, how is the narrative structure of Albert Finney analyzed?","No, Albert Finney is a work of Shakespearean comedy, not industrial music. It would not be analyzed under industrial music conventions.",The question incorrectly states industrial music instead of the correct value Shakespearean comedy.
Alberto Giacometti,categorical,work_genre_categorical,abstract art,fantasy manga,"Within the specific conventions of fantasy manga, how is the narrative structure of Alberto Giacometti analyzed?","No, Alberto Giacometti is a work of abstract art, not fantasy manga. It would not be analyzed under fantasy manga conventions.",The question incorrectly states fantasy manga instead of the correct value abstract art.
Alberto Moravia,categorical,work_genre_categorical,essay,historical mystery,"Within the specific conventions of historical mystery, how is the narrative structure of Alberto Moravia analyzed?","No, Alberto Moravia is a work of essay, not historical mystery. It would not be analyzed under historical mystery conventions.",The question incorrectly states historical mystery instead of the correct value essay.
Albrecht Dürer,categorical,work_genre_categorical,allegory,police procedural film,"Within the specific conventions of police procedural film, how is the narrative structure of Albrecht Dürer analyzed?","No, Albrecht Dürer is a work of allegory, not police procedural film. It would not be analyzed under police procedural film conventions.",The question incorrectly states police procedural film instead of the correct value allegory.
Alcaeus of Mytilene,categorical,work_genre_categorical,Greek lyric,criticism,"Within the specific conventions of criticism, how is the narrative structure of Alcaeus of Mytilene analyzed?","No, Alcaeus of Mytilene is a work of Greek lyric, not criticism. It would not be analyzed under criticism conventions.",The question incorrectly states criticism instead of the correct value Greek lyric.
Alec Baldwin,categorical,work_genre_categorical,soap opera,electric blues,"Within the specific conventions of electric blues, how is the narrative structure of Alec Baldwin analyzed?","No, Alec Baldwin is a work of soap opera, not electric blues. It would not be analyzed under electric blues conventions.",The question incorrectly states electric blues instead of the correct value soap opera.
Alec Guinness,categorical,work_genre_categorical,Shakespearean comedy,invasion literature,"Within the specific conventions of invasion literature, how is the narrative structure of Alec Guinness analyzed?","No, Alec Guinness is a work of Shakespearean comedy, not invasion literature. It would not be analyzed under invasion literature conventions.",The question incorrectly states invasion literature instead of the correct value Shakespearean comedy.
Alejandro Jodorowsky,categorical,work_genre_categorical,science fiction,independent music,"Within the specific conventions of independent music, how is the narrative structure of Alejandro Jodorowsky analyzed?","No, Alejandro Jodorowsky is a work of science fiction, not independent music. It would not be analyzed under independent music conventions.",The question incorrectly states independent music instead of the correct value science fiction.
Aleksandr Kuprin,categorical,work_genre_categorical,feuilleton,drama television series,"Within the specific conventions of drama television series, how is the narrative structure of Aleksandr Kuprin analyzed?","No, Aleksandr Kuprin is a work of feuilleton, not drama television series. It would not be analyzed under drama television series conventions.",The question incorrectly states drama television series instead of the correct value feuilleton.
Aleksandr Solzhenitsyn,categorical,work_genre_categorical,essay,ballet,"Within the specific conventions of ballet, how is the narrative structure of Aleksandr Solzhenitsyn analyzed?","No, Aleksandr Solzhenitsyn is a work of essay, not ballet. It would not be analyzed under ballet conventions.",The question incorrectly states ballet instead of the correct value essay.
Aleksey Konstantinovich Tolstoy,categorical,work_genre_categorical,poetry,heist film,"Within the specific conventions of heist film, how is the narrative structure of Aleksey Konstantinovich Tolstoy analyzed?","No, Aleksey Konstantinovich Tolstoy is a work of poetry, not heist film. It would not be analyzed under heist film conventions.",The question incorrectly states heist film instead of the correct value poetry.
Aleksey Tolstoy,categorical,work_genre_categorical,historical prose literature,Gospel,"Within the specific conventions of Gospel, how is the narrative structure of Aleksey Tolstoy analyzed?","No, Aleksey Tolstoy is a work of historical prose literature, not Gospel. It would not be analyzed under Gospel conventions.",The question incorrectly states Gospel instead of the correct value historical prose literature.
Alessandro Scarlatti,categorical,work_genre_categorical,classical music,Hellenistic period,"Within the specific conventions of Hellenistic period, how is the narrative structure of Alessandro Scarlatti analyzed?","No, Alessandro Scarlatti is a work of classical music, not Hellenistic period. It would not be analyzed under Hellenistic period conventions.",The question incorrectly states Hellenistic period instead of the correct value classical music.
Alexander,categorical,work_genre_categorical,action film,anime song,"Within the specific conventions of anime song, how is the narrative structure of Alexander analyzed?","No, Alexander is a work of action film, not anime song. It would not be analyzed under anime song conventions.",The question incorrectly states anime song instead of the correct value action film.
Alexander Archipenko,categorical,work_genre_categorical,abstract art,observational comedy,"Within the specific conventions of observational comedy, how is the narrative structure of Alexander Archipenko analyzed?","No, Alexander Archipenko is a work of abstract art, not observational comedy. It would not be analyzed under observational comedy conventions.",The question incorrectly states observational comedy instead of the correct value abstract art.
Alexander Blok,categorical,work_genre_categorical,elegy,anime film,"Within the specific conventions of anime film, how is the narrative structure of Alexander Blok analyzed?","No, Alexander Blok is a work of elegy, not anime film. It would not be analyzed under anime film conventions.",The question incorrectly states anime film instead of the correct value elegy.
