entity1,entity2,answer,question
Charles Lamont,Meg Randall,Ma and Pa Kettle,Which movie directed by Charles Lamont features Meg Randall?
Cheraw High School,,James Spruill Jr.,Which United States politician was educated at Cheraw High School
Chipley High School,,Ralph C. Carter,Which United States politician was educated at Chipley High School
Christian County High School,,John Tilley,Which United States politician was educated at Christian County High School
Christy Cabanne,Charles Wingate,What's a Wife Worth?,Which movie directed by Christy Cabanne features Charles Wingate?
Christy Cabanne,Dudley Clements,The Outcasts of Poker Flat,Which movie directed by Christy Cabanne features Dudley Clements?
Christy Cabanne,Juan Duval,"Carne de cabaret, Storm Over the Andes",Which movie directed by Christy Cabanne features Juan Duval?
Christy Cabanne,Myrtle Morse,The Stealers,Which movie directed by Christy Cabanne features Myrtle Morse?
Christy Cabanne,Robert Kenyon,The Stealers,Which movie directed by Christy Cabanne features Robert Kenyon?
Chuck Jones,Paul Stookey,Looney Tunes Golden Collection: Volume 6,Which movie directed by Chuck Jones features Paul Stookey?
Clarendon High School,,Mac Thornberry,Which United States politician was educated at Clarendon High School
Colin Campbell,Thomas Jefferson,A Hoosier Romance,Which movie directed by Colin Campbell features Thomas Jefferson?
Colin Campbell,William Courtleigh,Moon Madness,Which movie directed by Colin Campbell features William Courtleigh?
College of Santa Fe,,Tina Sablan,Which United States politician was educated at College of Santa Fe
College of Visual Arts,,Bev Scalze,Which United States politician was educated at College of Visual Arts
Colorado State Preparatory School,,George Whiteley,Which United States politician was educated at Colorado State Preparatory School
Columbia College,,"Rita Mayfield, Ryan Frazier",Which United States politician was educated at Columbia College
Crockett High School,,Jim Turner,Which United States politician was educated at Crockett High School
Cross Keys High School,,Brenda Lopez,Which United States politician was educated at Cross Keys High School
D. W. Griffith,Edgar Nelson,Way Down East,Which movie directed by D. W. Griffith features Edgar Nelson?
D. W. Griffith,Francis Marion,Hearts of the World,Which movie directed by D. W. Griffith features Francis Marion?
D. W. Griffith,Inez Palange,One Million B.C.,Which movie directed by D. W. Griffith features Inez Palange?
D. W. Griffith,Karl Brown,"Home, Sweet Home",Which movie directed by D. W. Griffith features Karl Brown?
D. W. Griffith,Porter Strong,Way Down East,Which movie directed by D. W. Griffith features Porter Strong?
Dan Attias,Joe Wright,Silver Bullet,Which movie directed by Dan Attias features Joe Wright?
Danvers High School,,Theodore C. Speliotis,Which United States politician was educated at Danvers High School
Dave Fleischer,Donald Mills,Dinah,Which movie directed by Dave Fleischer features Donald Mills?
Dave Fleischer,John Charles Mills,Dinah,Which movie directed by Dave Fleischer features John Charles Mills?
David Grossman,Ion Overman,In a World Where the Kings Are Employers,Which movie directed by David Grossman features Ion Overman?
David Trainer,Candice T. Cain,It's a Wonderful Life,Which movie directed by David Trainer features Candice T. Cain?
David Trainer,Karri V. Bowman,Drive-In,Which movie directed by David Trainer features Karri V. Bowman?
David Trainer,Mike Falkow,Fez Gets the Girl,Which movie directed by David Trainer features Mike Falkow?
Dawson County High School,,Tim M. Babcock,Which United States politician was educated at Dawson County High School
Dell Henderson,Byron Douglas,The Plunger,Which movie directed by Dell Henderson features Byron Douglas?
Dell Henderson,Helen Rowland,"Jacqueline, or Blazing Barriers",Which movie directed by Dell Henderson features Helen Rowland?
Dell Henderson,Irving Brooks,The Plunger,Which movie directed by Dell Henderson features Irving Brooks?
Dell Henderson,Jack Hopkins,The Broken Silence,Which movie directed by Dell Henderson features Jack Hopkins?
Dell Henderson,Mary Hall,The Shark,Which movie directed by Dell Henderson features Mary Hall?
Dell Henderson,Robert Vivian,The Plunger,Which movie directed by Dell Henderson features Robert Vivian?
Dell Henderson,Zyllah Inez Shannon,The Plunger,Which movie directed by Dell Henderson features Zyllah Inez Shannon?
Dennis Smith,Dave Powledge,Provenance,Which movie directed by Dennis Smith features Dave Powledge?
Dickson Normal College,,Hattie Caraway,Which United States politician was educated at Dickson Normal College
Draughon School of Business,,Homer Martin Adkins,Which United States politician was educated at Draughon School of Business
E. T. Beddingfield High School,,Carlton L. Stevens,Which United States politician was educated at E. T. Beddingfield High School
East Aurora High School,,Adam Bojak,Which United States politician was educated at East Aurora High School
Eastern Gateway Community College,,Douglas Trottier,Which United States politician was educated at Eastern Gateway Community College
Ebenezer College,,Hattie Caraway,Which United States politician was educated at Ebenezer College
Eclectic Medical College of Pennsylvania,,Anthony Stanford,Which United States politician was educated at Eclectic Medical College of Pennsylvania
Edison Community College,,John Adams,Which United States politician was educated at Edison Community College
Edward F. Cline,Alice Belcher,Broke in China,Which movie directed by Edward F. Cline features Alice Belcher?
Edward F. Cline,Dan Maines,"Broke in China, A Small Town Princess",Which movie directed by Edward F. Cline features Dan Maines?
Edward F. Cline,Danny O'Shea,"A Harem Knight, Hotsy Totsy",Which movie directed by Edward F. Cline features Danny O'Shea?
Edward F. Cline,Lillian Lawrence,Three Ages,Which movie directed by Edward F. Cline features Lillian Lawrence?
Edward L. Cahn,King Calder,Three Came to Kill,Which movie directed by Edward L. Cahn features King Calder?
Edward LeSaint,Georgia Woodthorpe,Merely Mary Ann,Which movie directed by Edward LeSaint features Georgia Woodthorpe?
Edward LeSaint,Harry Spingler,"Merely Mary Ann, Flames of the Flesh",Which movie directed by Edward LeSaint features Harry Spingler?
Edwin Stanton Porter,Robert Broderick,The Prince and the Pauper,Which movie directed by Edwin Stanton Porter features Robert Broderick?
Elmwood High School,,Tom Tiffany,Which United States politician was educated at Elmwood High School
Emporia State University School of Business and Technology,,William Coffin Coleman,Which United States politician was educated at Emporia State University School of Business and Technology
Emporia State University Teachers College,,Edward Herbert Rees,Which United States politician was educated at Emporia State University Teachers College
Falley Seminary,,Bradley Winslow,Which United States politician was educated at Falley Seminary
Flashpoint,Bob Carney,Custody,Which episode of Flashpoint was written by Bob Carney?
Flashpoint,John Callaghan,The Perfect Family,Which episode of Flashpoint was written by John Callaghan?
Flashpoint,Shelley Scarrow,Never Let You Down,Which episode of Flashpoint was written by Shelley Scarrow?
Francis Ford,William Eagle Shirt,The Invaders,Which movie directed by Francis Ford features William Eagle Shirt?
Frank Lloyd,Bill Bambridge,Mutiny on the Bounty,Which movie directed by Frank Lloyd features Bill Bambridge?
Frank Lloyd,Lillian Lawrence,The Voice from the Minaret,Which movie directed by Frank Lloyd features Lillian Lawrence?
Frank Lloyd,Louis King,The Sin Flood,Which movie directed by Frank Lloyd features Louis King?
Frank Lloyd,William Courtleigh,Madame X,Which movie directed by Frank Lloyd features William Courtleigh?
Frankfort Community High School,,Kenneth J. Gray,Which United States politician was educated at Frankfort Community High School
Franklin College,,K. M. Van Zandt,Which United States politician was educated at Franklin College
Fred Olen Ray,Angelique Kenney,The Twin,Which movie directed by Fred Olen Ray features Angelique Kenney?
Fred Olen Ray,Calista Carradine,The Twin,Which movie directed by Fred Olen Ray features Calista Carradine?
Fred Olen Ray,Cassandra Cruz,Sexual Witchcraft,Which movie directed by Fred Olen Ray features Cassandra Cruz?
Fred Olen Ray,Don Scribner,"The Twin, All I Want for Christmas",Which movie directed by Fred Olen Ray features Don Scribner?
Fred Olen Ray,Janis Peebles,Collision Course,Which movie directed by Fred Olen Ray features Janis Peebles?
Fred Olen Ray,Jayden Cole,"Bikini Royale 2, Bikini Jones and the Temple of Eros, Bikini Frankenstein",Which movie directed by Fred Olen Ray features Jayden Cole?
Fred Olen Ray,Jeff Bosley,Sniper Special Ops,Which movie directed by Fred Olen Ray features Jeff Bosley?
Fred Olen Ray,John Henry Richardson,"Sniper Special Ops, Hollywood Chainsaw Hookers, Unwanted Guest",Which movie directed by Fred Olen Ray features John Henry Richardson?
Fred Olen Ray,Jonathan Nation,Eyewitness,Which movie directed by Fred Olen Ray features Jonathan Nation?
Fred Olen Ray,Marliss Amiea,All I Want for Christmas,Which movie directed by Fred Olen Ray features Marliss Amiea?
Fred Olen Ray,Mary Elizabeth McGlynn,Billy Frankenstein,Which movie directed by Fred Olen Ray features Mary Elizabeth McGlynn?
Fred Olen Ray,Matthew J. Cates,The Twin,Which movie directed by Fred Olen Ray features Matthew J. Cates?
Fred Olen Ray,Meghan McLeod,Collision Course,Which movie directed by Fred Olen Ray features Meghan McLeod?
Fred Olen Ray,Michael Gaglio,All I Want for Christmas,Which movie directed by Fred Olen Ray features Michael Gaglio?
Fred Olen Ray,Rita Khori,Sniper Special Ops,Which movie directed by Fred Olen Ray features Rita Khori?
Fred Olen Ray,Rydell Danzie,Sniper Special Ops,Which movie directed by Fred Olen Ray features Rydell Danzie?
Fred Olen Ray,Valentina Novakovic,Unwanted Guest,Which movie directed by Fred Olen Ray features Valentina Novakovic?
Gadsden County High School,,Scott Kelly,Which United States politician was educated at Gadsden County High School
Gail Mancuso,Ashley Aufderheide,"That '90s Pilot, You Oughta Know",Which movie directed by Gail Mancuso features Ashley Aufderheide?
Gail Mancuso,Callie Haverda,"You Oughta Know, That '90s Pilot",Which movie directed by Gail Mancuso features Callie Haverda?
Gail Mancuso,Reyn Doi,"You Oughta Know, That '90s Pilot",Which movie directed by Gail Mancuso features Reyn Doi?
Gail Mancuso,Sam Morelos,You Oughta Know,Which movie directed by Gail Mancuso features Sam Morelos?
Georg Jacoby,Carl Iban,The Beggar Student,Which movie directed by Georg Jacoby features Carl Iban?
Georg Jacoby,Dick Van Der Veld,Kleren Maken de Man,Which movie directed by Georg Jacoby features Dick Van Der Veld?
Georg Jacoby,Leo Lasko,"Jan Vermeulen, the Miller of Flanders",Which movie directed by Georg Jacoby features Leo Lasko?
George Archainbaud,Barry Curtis,The Adventures of Champion,Which movie directed by George Archainbaud features Barry Curtis?
George Archainbaud,Charlotte Granville,A Damsel in Distress,Which movie directed by George Archainbaud features Charlotte Granville?
George D. Baker,Ben Hendricks,Heliotrope,Which movie directed by George D. Baker features Ben Hendricks?
George D. Baker,Betty Hilburn,Heliotrope,Which movie directed by George D. Baker features Betty Hilburn?
George Melford,Linda Watkins,Murder in the Library,Which movie directed by George Melford features Linda Watkins?
George Melford,Richard Morris,The Marriage of Kitty,Which movie directed by George Melford features Richard Morris?
Gerry Cohen,Marina Benedict,Nikki,Which movie directed by Gerry Cohen features Marina Benedict?
Glenwood Institute,,"John Warne Herbert, Jr.",Which United States politician was educated at Glenwood Institute
Gloucester City Junior-Senior High School,,Edward Durr,Which United States politician was educated at Gloucester City Junior-Senior High School
Grace Christian Academy,,Don Bacon,Which United States politician was educated at Grace Christian Academy
Grant Union High School,,Denny Smith,Which United States politician was educated at Grant Union High School
Greenville High School,,Earl McGowin,Which United States politician was educated at Greenville High School
Hal Roach,Inez Palange,One Million B.C.,Which movie directed by Hal Roach features Inez Palange?
Hal Roach,John Hyams,The Housekeeper's Daughter,Which movie directed by Hal Roach features John Hyams?
Hal Roach,Margaret Roach,Road Show,Which movie directed by Hal Roach features Margaret Roach?
Hamilton College of Law,,"John L. Dahl, Harold Roe Bartle",Which United States politician was educated at Hamilton College of Law
Handy Manny,Rick Gitelson,Handy Manny's Motorcycle Adventure,Which episode of Handy Manny was written by Rick Gitelson?
Hay Plumb,Adeleine Bourne,Hamlet,Which movie directed by Hay Plumb features Adeleine Bourne?
Hay Plumb,Alex Scott-Gatty,Hamlet,Which movie directed by Hay Plumb features Alex Scott-Gatty?
Hay Plumb,E.A. Ross,Hamlet,Which movie directed by Hay Plumb features E.A. Ross?
Hay Plumb,Eric Adeney,Hamlet,Which movie directed by Hay Plumb features Eric Adeney?
Hay Plumb,Grendon Bentley,Hamlet,Which movie directed by Hay Plumb features Grendon Bentley?
Hay Plumb,J.H. Barnes,Hamlet,Which movie directed by Hay Plumb features J.H. Barnes?
Hay Plumb,Montagu Rutherford,Hamlet,Which movie directed by Hay Plumb features Montagu Rutherford?
Hay Plumb,Percy Rhodes,Hamlet,Which movie directed by Hay Plumb features Percy Rhodes?
Hay Plumb,Walter Ringham,Hamlet,Which movie directed by Hay Plumb features Walter Ringham?
Heartland Baptist Bible College,,Ralph Shortey,Which United States politician was educated at Heartland Baptist Bible College
Henry King,De Sacia Mooers,Any Woman,Which movie directed by Henry King features De Sacia Mooers?
Henry King,Dorothy Hagan,One Hour Before Dawn,Which movie directed by Henry King features Dorothy Hagan?
Henry King,Louis King,Way Down East,Which movie directed by Henry King features Louis King?
Henry King,Percy Challenger,Uncharted Channels,Which movie directed by Henry King features Percy Challenger?
Henry King,Ralph McCullough,One Hour Before Dawn,Which movie directed by Henry King features Ralph McCullough?
Henry King,Thomas Persse,Uncharted Channels,Which movie directed by Henry King features Thomas Persse?
Hettinger High School,,Rick Berg,Which United States politician was educated at Hettinger High School
Hickory High School,,Hank Guess,Which United States politician was educated at Hickory High School
Hinds County Agricultural High School,,Bennie Thompson,Which United States politician was educated at Hinds County Agricultural High School
Holland Christian Schools,,"Betsy DeVos, Bill Huizenga",Which United States politician was educated at Holland Christian Schools
Holston College,,"James Henry Randolph, Albert Galiton Watkins",Which United States politician was educated at Holston College
Holy Family High School,,Tom Tancredo,Which United States politician was educated at Holy Family High School
Howard University College of Engineering Architecture and Computer Science,,"Togo D. West, Jr.",Which United States politician was educated at Howard University College of Engineering Architecture and Computer Science
Hsinchu City Chien Kung Senior High School,,Lii Wen,Which United States politician was educated at Hsinchu City Chien Kung Senior High School
Hubbard Middle School,,Stuart Hene,Which United States politician was educated at Hubbard Middle School
Humphreys University,,Henry F. Ashurst,Which United States politician was educated at Humphreys University
Hunt High School,,James Roberson,Which United States politician was educated at Hunt High School
Huntington College of Health Sciences,,Karen Hurd,Which United States politician was educated at Huntington College of Health Sciences
Hustler's University,,Sajeeb Wazed,Which United States politician was educated at Hustler's University
Imperial Valley College,,George Brown,Which United States politician was educated at Imperial Valley College
Incarnate Word Academy,,Blake Farenthold,Which United States politician was educated at Incarnate Word Academy
Independence USD 446,,Derek Schmidt,Which United States politician was educated at Independence USD 446
Indiana University Kokomo,,Ron Herrell,Which United States politician was educated at Indiana University Kokomo
Iver C. Ranum High School,,Charles Pelkey,Which United States politician was educated at Iver C. Ranum High School
Izabella Bashmakova,,Margaret Cunzio,Which United States politician was educated at Izabella Bashmakova
J. P. McGowan,Charles Norman Hammond,The Vanishing Dagger,Which movie directed by J. P. McGowan features Charles Norman Hammond?
J. P. McGowan,John Lowell Russell,"Arizona Days, Manhattan Cowboy",Which movie directed by J. P. McGowan features John Lowell Russell?
J. Stuart Blackton,Hubert Carrer,The Virgin Queen,Which movie directed by J. Stuart Blackton features Hubert Carrer?
J. Stuart Blackton,Leila Valentine,Passers By,Which movie directed by J. Stuart Blackton features Leila Valentine?
J. Stuart Blackton,Maisie Fisher,The Virgin Queen,Which movie directed by J. Stuart Blackton features Maisie Fisher?
J. Stuart Blackton,Violet Virginia Blackton,The Virgin Queen,Which movie directed by J. Stuart Blackton features Violet Virginia Blackton?
J. Stuart Blackton,Warren Chandler,My Husband's Other Wife,Which movie directed by J. Stuart Blackton features Warren Chandler?
Jackson College (Tennessee),,"James Houston Thomas, Neill S. Brown",Which United States politician was educated at Jackson College (Tennessee)
Jean Durand,Joachim Renez,Transformations élastiques,Which movie directed by Jean Durand features Joachim Renez?
Jean-Luc Godard,Audrey Klebaner,In Praise of Love,Which movie directed by Jean-Luc Godard features Audrey Klebaner?
Jean-Luc Godard,Carol Bellamy,One P.M.,Which movie directed by Jean-Luc Godard features Carol Bellamy?
Jean-Luc Godard,Enzo Siciliano,Ro.Go.Pa.G.,Which movie directed by Jean-Luc Godard features Enzo Siciliano?
Jean-Luc Godard,Jean-Paul Savignac,My Life to Live,Which movie directed by Jean-Luc Godard features Jean-Paul Savignac?
Jean-Luc Godard,José Bénazéraf,Breathless,Which movie directed by Jean-Luc Godard features José Bénazéraf?
Jean-Luc Godard,Pierre Oudrey,Number Two,Which movie directed by Jean-Luc Godard features Pierre Oudrey?
Jean-Luc Godard,Sandrine Battistella,Number Two,Which movie directed by Jean-Luc Godard features Sandrine Battistella?
Jesús Franco,Alicia Moro,Dark Mission,Which movie directed by Jesús Franco features Alicia Moro?
Jesús Franco,Brigitte Meyer,"Women Without Innocence, Love Camp",Which movie directed by Jesús Franco features Brigitte Meyer?
Jesús Franco,Conchita Nuñez,The Daughter of Dracula,Which movie directed by Jesús Franco features Conchita Nuñez?
Jesús Franco,Corinna Drews,Bloody Moon,Which movie directed by Jesús Franco features Corinna Drews?
Jesús Franco,José Viana,Love Letters of a Portuguese Nun,Which movie directed by Jesús Franco features José Viana?
Jesús Franco,Lorli Bucher,Around the World in 80 Beds,Which movie directed by Jesús Franco features Lorli Bucher?
Jesús Franco,Martine Stedil,"Swedish Nympho Slaves, Downtown, Barbed Wire Dolls",Which movie directed by Jesús Franco features Martine Stedil?
Jesús Franco,Richard Bigotini,"Celestine, Maid at Your Service",Which movie directed by Jesús Franco features Richard Bigotini?
Jesús Franco,Victor de Sousa,Love Letters of a Portuguese Nun,Which movie directed by Jesús Franco features Victor de Sousa?
Jesús Franco,Vítor Mendes,"Swedish Nympho Slaves, Voodoo Passion, Love Letters of a Portuguese Nun",Which movie directed by Jesús Franco features Vítor Mendes?
Jesús Franco,Yvonne Eduser,"Around the World in 80 Beds, Swedish Nympho Slaves, Girls in the Night Traffic",Which movie directed by Jesús Franco features Yvonne Eduser?
Joe D'Amato,Anita Rinaldi,I predatori delle Antille,Which movie directed by Joe D'Amato features Anita Rinaldi?
Joe D'Amato,Christopher T. Walsh,Endgame,Which movie directed by Joe D'Amato features Christopher T. Walsh?
Joe D'Amato,Judith Kostner,Selen The Girl of the Treasure Island,Which movie directed by Joe D'Amato features Judith Kostner?
John Ford,Bert Appling,Just Pals,Which movie directed by John Ford features Bert Appling?
John Ford,C.E. Anderson,Hitchin' Posts,Which movie directed by John Ford features C.E. Anderson?
Jules White,George Gray,The Battling Kangaroo,Which movie directed by Jules White features George Gray?
Jules White,Julie Gibson,Three Smart Saps,Which movie directed by Jules White features Julie Gibson?
Katahirachō Elementary School,,Jiro Aichi,Which United States politician was educated at Katahirachō Elementary School
Kearney State College,,Richard Shultz,Which United States politician was educated at Kearney State College
Kenan & Kel,Kevin Kopelow,Two Heads Are Better Than None,Which episode of Kenan & Kel was written by Kevin Kopelow?
Kent County High School,,Jay Jacobs,Which United States politician was educated at Kent County High School
La Salle Military Academy,,John M. Murphy,Which United States politician was educated at La Salle Military Academy
Lakeshore Technical College,,Terry Van Akkeren,Which United States politician was educated at Lakeshore Technical College
Lakeview Academy,,Matt Dubnik,Which United States politician was educated at Lakeview Academy
Lambert Hillyer,S.J. Bingham,Sand!,Which movie directed by Lambert Hillyer features S.J. Bingham?
Lansingburgh High School,,Carmella Mantello,Which United States politician was educated at Lansingburgh High School
Larry Semon,Danny O'Shea,A Dozen Socks,Which movie directed by Larry Semon features Danny O'Shea?
Larry Semon,Marie Astaire,Dummies,Which movie directed by Larry Semon features Marie Astaire?
Larry Semon,Marjorie Zier,A Dozen Socks,Which movie directed by Larry Semon features Marjorie Zier?
Lau Lauritzen Sr.,Pip Overbeck,Be Mine–for Tomorrow,Which movie directed by Lau Lauritzen Sr. features Pip Overbeck?
Law & Order: Criminal Intent,Charlie Rubin,Untethered,Which episode of Law & Order: Criminal Intent was written by Charlie Rubin?
Law & Order: Criminal Intent,Peter Blauner,"Contract, Last Rites",Which episode of Law & Order: Criminal Intent was written by Peter Blauner?
Law & Order: Criminal Intent,Siobhan Byrne,"Amends, Senseless, Last Rites, Purgatory",Which episode of Law & Order: Criminal Intent was written by Siobhan Byrne?
Lenawee Christian School,,Rick Baxter,Which United States politician was educated at Lenawee Christian School
Leo McCarey,Al Hallett,Crazy like a Fox,Which movie directed by Leo McCarey features Al Hallett?
Leo McCarey,John Aasen,Should Married Men Go Home?,Which movie directed by Leo McCarey features John Aasen?
Leo McCarey,Martin Wolfkeil,All Wet,Which movie directed by Leo McCarey features Martin Wolfkeil?
Leopold Lindtberg,Claudia Golling,Kein schöner Sonntag,Which movie directed by Leopold Lindtberg features Claudia Golling?
Leopold Lindtberg,Richard Schweizer,Florian Geyer,Which movie directed by Leopold Lindtberg features Richard Schweizer?
Lesley Selander,Ernest Hilliard,The Boss Rider of Gun Creek,Which movie directed by Lesley Selander features Ernest Hilliard?
Lesli Linka Glatter,Lana Likic,Revelations,Which movie directed by Lesli Linka Glatter features Lana Likic?
Lesli Linka Glatter,Patrik Křivánek,Revelations,Which movie directed by Lesli Linka Glatter features Patrik Křivánek?
Lloyd Bacon,Davey Lee,"The Singing Fool, Say It with Songs",Which movie directed by Lloyd Bacon features Davey Lee?
Lloyd Bacon,David Worth,Sons o' Guns,Which movie directed by Lloyd Bacon features David Worth?
Los Amigos High School,,Mike Pompeo,Which United States politician was educated at Los Amigos High School
Louis Feuillade,Marguerite Lavigne,"Tiny Tim and the Lion, Bout-de-Zan au bal masqué",Which movie directed by Louis Feuillade features Marguerite Lavigne?
Louis J. Gasnier,Albert Decoeur,Les Amours de la reine Élisabeth,Which movie directed by Louis J. Gasnier features Albert Decoeur?
Louis J. Gasnier,Jean Chameroy,Les Amours de la reine Élisabeth,Which movie directed by Louis J. Gasnier features Jean Chameroy?
Louis J. Gasnier,Marie-Louise Derval,Les Amours de la reine Élisabeth,Which movie directed by Louis J. Gasnier features Marie-Louise Derval?
Louis J. Gasnier,Nita Romani,Les Amours de la reine Élisabeth,Which movie directed by Louis J. Gasnier features Nita Romani?
Louisiana State University of Alexandria,,Mickey Guillory,Which United States politician was educated at Louisiana State University of Alexandria
Lutheran High School (Milwaukee),,Edgar E. Lien,Which United States politician was educated at Lutheran High School (Milwaukee)
Léonce Perret,Yvonne Delva,The Thirteenth Chair,Which movie directed by Léonce Perret features Yvonne Delva?
Mack Sennett,Maria Alba,Hypnotized,Which movie directed by Mack Sennett features Maria Alba?
Maddox Seminary,,Effiegene Locke Wingo,Which United States politician was educated at Maddox Seminary
Manhattan International High School,,Barbara Millicent Roberts,Which United States politician was educated at Manhattan International High School
Mansfield High School,,Mark Darr,Which United States politician was educated at Mansfield High School
Mark Cendrowski,Angel Laketa Moore,Three Angry Women and a Prophylactic,Which movie directed by Mark Cendrowski features Angel Laketa Moore?
Mark Cendrowski,Gayla Goehl,Diet Crap,Which movie directed by Mark Cendrowski features Gayla Goehl?
Mark Cendrowski,Kalpana Pot,A Regular Samaritan,Which movie directed by Mark Cendrowski features Kalpana Pot?
