entity1,entity2,question
Madagascar,Tom McGrath,In which year did 'Madagascar' directed by Tom McGrath win an Oscar?
Madagascar,Eric Darnell,In which year did 'Madagascar' directed by Eric Darnell win an Oscar?
"Go, Dog. Go!",Andrew Duncan,"In which year did 'Go, Dog. Go!' directed by Andrew Duncan win an Oscar?"
"Go, Dog. Go!",Kiran Shangherra,"In which year did 'Go, Dog. Go!' directed by Kiran Shangherra win an Oscar?"
The Fox and the Hound,Art Stevens,In which year did 'The Fox and the Hound' directed by Art Stevens win an Oscar?
The Fox and the Hound,Richard Rich,In which year did 'The Fox and the Hound' directed by Richard Rich win an Oscar?
The Fox and the Hound,Ted Berman,In which year did 'The Fox and the Hound' directed by Ted Berman win an Oscar?
South Park,Trey Parker,In which year did 'South Park' directed by Trey Parker win an Oscar?
Bad Cat,Mehmet Kurtuluş,In which year did 'Bad Cat' directed by Mehmet Kurtuluş win an Oscar?
Snow White and the Seven Dwarfs,Wilfred Jackson,In which year did 'Snow White and the Seven Dwarfs' directed by Wilfred Jackson win an Oscar?
Snow White and the Seven Dwarfs,William Cottrell,In which year did 'Snow White and the Seven Dwarfs' directed by William Cottrell win an Oscar?
Snow White and the Seven Dwarfs,Percival C. Pearce,In which year did 'Snow White and the Seven Dwarfs' directed by Percival C. Pearce win an Oscar?
Snow White and the Seven Dwarfs,Larry Morey,In which year did 'Snow White and the Seven Dwarfs' directed by Larry Morey win an Oscar?
Snow White and the Seven Dwarfs,David Hand,In which year did 'Snow White and the Seven Dwarfs' directed by David Hand win an Oscar?
Snow White and the Seven Dwarfs,Ben Sharpsteen,In which year did 'Snow White and the Seven Dwarfs' directed by Ben Sharpsteen win an Oscar?
Liv and Maddie,Andy Fickman,In which year did 'Liv and Maddie' directed by Andy Fickman win an Oscar?
Bambi,Samuel Armstrong,In which year did 'Bambi' directed by Samuel Armstrong win an Oscar?
Bambi,Paul Satterfield,In which year did 'Bambi' directed by Paul Satterfield win an Oscar?
Bambi,Norman Wright,In which year did 'Bambi' directed by Norman Wright win an Oscar?
Bambi,James Algar,In which year did 'Bambi' directed by James Algar win an Oscar?
Bambi,Bill Roberts,In which year did 'Bambi' directed by Bill Roberts win an Oscar?
Bambi,David Hand,In which year did 'Bambi' directed by David Hand win an Oscar?
Bambi,Graham Heid,In which year did 'Bambi' directed by Graham Heid win an Oscar?
The Big Bang Theory,Mark Cendrowski,In which year did 'The Big Bang Theory' directed by Mark Cendrowski win an Oscar?
Tom and Jerry,William Hanna,In which year did 'Tom and Jerry' directed by William Hanna win an Oscar?
Squid Game,Hwang Dong-hyeok,In which year did 'Squid Game' directed by Hwang Dong-hyeok win an Oscar?
As Aventuras de Gui & Estopa,Mariana Caltabiano,In which year did 'As Aventuras de Gui & Estopa' directed by Mariana Caltabiano win an Oscar?
The Shawshank Redemption,Frank Darabont,In which year did 'The Shawshank Redemption' directed by Frank Darabont win an Oscar?
Cinderella,Hamilton Luske,In which year did 'Cinderella' directed by Hamilton Luske win an Oscar?
Cinderella,Wilfred Jackson,In which year did 'Cinderella' directed by Wilfred Jackson win an Oscar?
Cinderella,Clyde Geronimi,In which year did 'Cinderella' directed by Clyde Geronimi win an Oscar?
Back to the Future,Robert Zemeckis,In which year did 'Back to the Future' directed by Robert Zemeckis win an Oscar?
Fight Club,David Fincher,In which year did 'Fight Club' directed by David Fincher win an Oscar?
Breaking Bad,Félix Enríquez Alcalá,In which year did 'Breaking Bad' directed by Félix Enríquez Alcalá win an Oscar?
Breaking Bad,Bronwen Hughes,In which year did 'Breaking Bad' directed by Bronwen Hughes win an Oscar?
Breaking Bad,David Slade,In which year did 'Breaking Bad' directed by David Slade win an Oscar?
Breaking Bad,Colin Bucksey,In which year did 'Breaking Bad' directed by Colin Bucksey win an Oscar?
Breaking Bad,Charles Haid,In which year did 'Breaking Bad' directed by Charles Haid win an Oscar?
Breaking Bad,Bryan Cranston,In which year did 'Breaking Bad' directed by Bryan Cranston win an Oscar?
Breaking Bad,Adam Bernstein,In which year did 'Breaking Bad' directed by Adam Bernstein win an Oscar?
Breaking Bad,George Mastras,In which year did 'Breaking Bad' directed by George Mastras win an Oscar?
Breaking Bad,Jim McKay,In which year did 'Breaking Bad' directed by Jim McKay win an Oscar?
Breaking Bad,Johan Renck,In which year did 'Breaking Bad' directed by Johan Renck win an Oscar?
Breaking Bad,John Dahl,In which year did 'Breaking Bad' directed by John Dahl win an Oscar?
Breaking Bad,Michelle MacLaren,In which year did 'Breaking Bad' directed by Michelle MacLaren win an Oscar?
Breaking Bad,John Shiban,In which year did 'Breaking Bad' directed by John Shiban win an Oscar?
Breaking Bad,Michael Slovis,In which year did 'Breaking Bad' directed by Michael Slovis win an Oscar?
Breaking Bad,Vince Gilligan,In which year did 'Breaking Bad' directed by Vince Gilligan win an Oscar?
Breaking Bad,Peter Gould,In which year did 'Breaking Bad' directed by Peter Gould win an Oscar?
Breaking Bad,Tricia Brock,In which year did 'Breaking Bad' directed by Tricia Brock win an Oscar?
Breaking Bad,Tim Hunter,In which year did 'Breaking Bad' directed by Tim Hunter win an Oscar?
Breaking Bad,Peter Medak,In which year did 'Breaking Bad' directed by Peter Medak win an Oscar?
Breaking Bad,Thomas Schnauz,In which year did 'Breaking Bad' directed by Thomas Schnauz win an Oscar?
Breaking Bad,Terry McDonough,In which year did 'Breaking Bad' directed by Terry McDonough win an Oscar?
Breaking Bad,Scott Winant,In which year did 'Breaking Bad' directed by Scott Winant win an Oscar?
Breaking Bad,Phil Abraham,In which year did 'Breaking Bad' directed by Phil Abraham win an Oscar?
Breaking Bad,Rian Johnson,In which year did 'Breaking Bad' directed by Rian Johnson win an Oscar?
Breaking Bad,Sam Catlin,In which year did 'Breaking Bad' directed by Sam Catlin win an Oscar?
Lady and the Tramp,Clyde Geronimi,In which year did 'Lady and the Tramp' directed by Clyde Geronimi win an Oscar?
Lady and the Tramp,Hamilton Luske,In which year did 'Lady and the Tramp' directed by Hamilton Luske win an Oscar?
Lady and the Tramp,Wilfred Jackson,In which year did 'Lady and the Tramp' directed by Wilfred Jackson win an Oscar?
Oliver & Company,George Scribner,In which year did 'Oliver & Company' directed by George Scribner win an Oscar?
The Terminator,James Cameron,In which year did 'The Terminator' directed by James Cameron win an Oscar?
Harry Potter and the Philosopher's Stone,Chris Columbus,In which year did 'Harry Potter and the Philosopher's Stone' directed by Chris Columbus win an Oscar?
V for Vendetta,James McTeigue,In which year did 'V for Vendetta' directed by James McTeigue win an Oscar?
The Rescuers,Art Stevens,In which year did 'The Rescuers' directed by Art Stevens win an Oscar?
The Rescuers,John Lounsbery,In which year did 'The Rescuers' directed by John Lounsbery win an Oscar?
The Rescuers,Wolfgang Reitherman,In which year did 'The Rescuers' directed by Wolfgang Reitherman win an Oscar?
The Avengers,Joss Whedon,In which year did 'The Avengers' directed by Joss Whedon win an Oscar?
Charlotte's Web,Charles August Nichols,In which year did 'Charlotte's Web' directed by Charles August Nichols win an Oscar?
Charlotte's Web,Iwao Takamoto,In which year did 'Charlotte's Web' directed by Iwao Takamoto win an Oscar?
"The Good, the Bad and the Ugly",Sergio Leone,"In which year did 'The Good, the Bad and the Ugly' directed by Sergio Leone win an Oscar?"
Harry Potter and the Chamber of Secrets,Chris Columbus,In which year did 'Harry Potter and the Chamber of Secrets' directed by Chris Columbus win an Oscar?
Sesame Street,John R. Dilworth,In which year did 'Sesame Street' directed by John R. Dilworth win an Oscar?
Sesame Street,Stan Lathan,In which year did 'Sesame Street' directed by Stan Lathan win an Oscar?
The Jungle Book,Wolfgang Reitherman,In which year did 'The Jungle Book' directed by Wolfgang Reitherman win an Oscar?
One Hundred and One Dalmatians,Clyde Geronimi,In which year did 'One Hundred and One Dalmatians' directed by Clyde Geronimi win an Oscar?
One Hundred and One Dalmatians,Hamilton Luske,In which year did 'One Hundred and One Dalmatians' directed by Hamilton Luske win an Oscar?
One Hundred and One Dalmatians,Wolfgang Reitherman,In which year did 'One Hundred and One Dalmatians' directed by Wolfgang Reitherman win an Oscar?
Avengers: Endgame,Joe Russo,In which year did 'Avengers: Endgame' directed by Joe Russo win an Oscar?
Avengers: Endgame,Anthony Russo,In which year did 'Avengers: Endgame' directed by Anthony Russo win an Oscar?
Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,In which year did 'Harry Potter and the Prisoner of Azkaban' directed by Alfonso Cuarón win an Oscar?
Lost,J. J. Abrams,In which year did 'Lost' directed by J. J. Abrams win an Oscar?
Lost,Stephen Williams,In which year did 'Lost' directed by Stephen Williams win an Oscar?
Lost,Jack Bender,In which year did 'Lost' directed by Jack Bender win an Oscar?
Star Wars: Episode I – The Phantom Menace,George Lucas,In which year did 'Star Wars: Episode I – The Phantom Menace' directed by George Lucas win an Oscar?
Tangled,Nathan Greno,In which year did 'Tangled' directed by Nathan Greno win an Oscar?
Tangled,Byron Howard,In which year did 'Tangled' directed by Byron Howard win an Oscar?
House M.D.,David Semel,In which year did 'House M.D.' directed by David Semel win an Oscar?
House M.D.,David Shore,In which year did 'House M.D.' directed by David Shore win an Oscar?
House M.D.,Daniel Sackheim,In which year did 'House M.D.' directed by Daniel Sackheim win an Oscar?
House M.D.,Peter Medak,In which year did 'House M.D.' directed by Peter Medak win an Oscar?
House M.D.,Dan Attias,In which year did 'House M.D.' directed by Dan Attias win an Oscar?
House M.D.,Deran Sarafian,In which year did 'House M.D.' directed by Deran Sarafian win an Oscar?
House M.D.,Keith Gordon,In which year did 'House M.D.' directed by Keith Gordon win an Oscar?
House M.D.,Juan J. Campanella,In which year did 'House M.D.' directed by Juan J. Campanella win an Oscar?
House M.D.,James Hayman,In which year did 'House M.D.' directed by James Hayman win an Oscar?
House M.D.,Jace Alexander,In which year did 'House M.D.' directed by Jace Alexander win an Oscar?
House M.D.,Hugh Laurie,In which year did 'House M.D.' directed by Hugh Laurie win an Oscar?
House M.D.,Guy Ferland,In which year did 'House M.D.' directed by Guy Ferland win an Oscar?
House M.D.,Greg Yaitanes,In which year did 'House M.D.' directed by Greg Yaitanes win an Oscar?
House M.D.,Fred Gerber,In which year did 'House M.D.' directed by Fred Gerber win an Oscar?
House M.D.,Frederick King Keller,In which year did 'House M.D.' directed by Frederick King Keller win an Oscar?
House M.D.,Elodie Keene,In which year did 'House M.D.' directed by Elodie Keene win an Oscar?
House M.D.,Félix Enríquez Alcalá,In which year did 'House M.D.' directed by Félix Enríquez Alcalá win an Oscar?
House M.D.,Laura Innes,In which year did 'House M.D.' directed by Laura Innes win an Oscar?
House M.D.,Paul McCrane,In which year did 'House M.D.' directed by Paul McCrane win an Oscar?
House M.D.,Paris Barclay,In which year did 'House M.D.' directed by Paris Barclay win an Oscar?
Harry Potter and the Goblet of Fire,Mike Newell,In which year did 'Harry Potter and the Goblet of Fire' directed by Mike Newell win an Oscar?
House M.D.,Nick Gomez,In which year did 'House M.D.' directed by Nick Gomez win an Oscar?
House M.D.,Newton Thomas Sigel,In which year did 'House M.D.' directed by Newton Thomas Sigel win an Oscar?
House M.D.,Nelson McCormick,In which year did 'House M.D.' directed by Nelson McCormick win an Oscar?
House M.D.,Miguel Sapochnik,In which year did 'House M.D.' directed by Miguel Sapochnik win an Oscar?
House M.D.,Matt Shakman,In which year did 'House M.D.' directed by Matt Shakman win an Oscar?
House M.D.,Lesli Linka Glatter,In which year did 'House M.D.' directed by Lesli Linka Glatter win an Oscar?
House M.D.,Colin Bucksey,In which year did 'House M.D.' directed by Colin Bucksey win an Oscar?
House M.D.,Tim Southam,In which year did 'House M.D.' directed by Tim Southam win an Oscar?
House M.D.,Tim Hunter,In which year did 'House M.D.' directed by Tim Hunter win an Oscar?
House M.D.,Sanford Bookstaver,In which year did 'House M.D.' directed by Sanford Bookstaver win an Oscar?
House M.D.,R. Lee Ermey,In which year did 'House M.D.' directed by R. Lee Ermey win an Oscar?
House M.D.,Peter Weller,In which year did 'House M.D.' directed by Peter Weller win an Oscar?
House M.D.,Peter O'Fallon,In which year did 'House M.D.' directed by Peter O'Fallon win an Oscar?
House M.D.,Bill Johnson,In which year did 'House M.D.' directed by Bill Johnson win an Oscar?
House M.D.,Bryan Singer,In which year did 'House M.D.' directed by Bryan Singer win an Oscar?
House M.D.,Bryan Spicer,In which year did 'House M.D.' directed by Bryan Spicer win an Oscar?
Prison Break,Paul Scheuring,In which year did 'Prison Break' directed by Paul Scheuring win an Oscar?
The X-Files,Rob Bowman,In which year did 'The X-Files' directed by Rob Bowman win an Oscar?
Harry Potter and the Half-Blood Prince,David Yates,In which year did 'Harry Potter and the Half-Blood Prince' directed by David Yates win an Oscar?
Harry Potter and the Order of the Phoenix,David Yates,In which year did 'Harry Potter and the Order of the Phoenix' directed by David Yates win an Oscar?
Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,In which year did 'Pirates of the Caribbean: The Curse of the Black Pearl' directed by Gore Verbinski win an Oscar?
Toy Story 2,Ash Brannon,In which year did 'Toy Story 2' directed by Ash Brannon win an Oscar?
Toy Story 2,John Lasseter,In which year did 'Toy Story 2' directed by John Lasseter win an Oscar?
Toy Story 2,Lee Unkrich,In which year did 'Toy Story 2' directed by Lee Unkrich win an Oscar?
Moana,Chris Williams,In which year did 'Moana' directed by Chris Williams win an Oscar?
Moana,Ron Clements,In which year did 'Moana' directed by Ron Clements win an Oscar?
Kung Fu Panda,John Stevenson,In which year did 'Kung Fu Panda' directed by John Stevenson win an Oscar?
Kung Fu Panda,Mark Osborne,In which year did 'Kung Fu Panda' directed by Mark Osborne win an Oscar?
Moana,Don Hall,In which year did 'Moana' directed by Don Hall win an Oscar?
Moana,John Musker,In which year did 'Moana' directed by John Musker win an Oscar?
Avengers: Infinity War,Anthony Russo,In which year did 'Avengers: Infinity War' directed by Anthony Russo win an Oscar?
Avengers: Infinity War,Joe Russo,In which year did 'Avengers: Infinity War' directed by Joe Russo win an Oscar?
Robin Hood,Wolfgang Reitherman,In which year did 'Robin Hood' directed by Wolfgang Reitherman win an Oscar?
Batman Begins,Christopher Nolan,In which year did 'Batman Begins' directed by Christopher Nolan win an Oscar?
Sleeping Beauty,Eric Larson,In which year did 'Sleeping Beauty' directed by Eric Larson win an Oscar?
Mulan,Barry Cook,In which year did 'Mulan' directed by Barry Cook win an Oscar?
Sleeping Beauty,Wolfgang Reitherman,In which year did 'Sleeping Beauty' directed by Wolfgang Reitherman win an Oscar?
Mulan,Tony Bancroft,In which year did 'Mulan' directed by Tony Bancroft win an Oscar?
Sleeping Beauty,Les Clark,In which year did 'Sleeping Beauty' directed by Les Clark win an Oscar?
Sleeping Beauty,Clyde Geronimi,In which year did 'Sleeping Beauty' directed by Clyde Geronimi win an Oscar?
Star Wars: Episode III – Revenge of the Sith,George Lucas,In which year did 'Star Wars: Episode III – Revenge of the Sith' directed by George Lucas win an Oscar?
Blade Runner,Ridley Scott,In which year did 'Blade Runner' directed by Ridley Scott win an Oscar?
Iron Man,Jon Favreau,In which year did 'Iron Man' directed by Jon Favreau win an Oscar?
Spider-Man,Sam Raimi,In which year did 'Spider-Man' directed by Sam Raimi win an Oscar?
Pirates of the Caribbean: At World's End,Gore Verbinski,In which year did 'Pirates of the Caribbean: At World's End' directed by Gore Verbinski win an Oscar?
Thomas & Friends,Greg Tiernan,In which year did 'Thomas & Friends' directed by Greg Tiernan win an Oscar?
Thomas & Friends,Steve Asquith,In which year did 'Thomas & Friends' directed by Steve Asquith win an Oscar?
Thomas & Friends,David Mitton,In which year did 'Thomas & Friends' directed by David Mitton win an Oscar?
300,Zack Snyder,In which year did '300' directed by Zack Snyder win an Oscar?
Harry Potter and the Deathly Hallows – Part 1,David Yates,In which year did 'Harry Potter and the Deathly Hallows – Part 1' directed by David Yates win an Oscar?
Ice Age,Chris Wedge,In which year did 'Ice Age' directed by Chris Wedge win an Oscar?
Ice Age,Carlos Saldanha,In which year did 'Ice Age' directed by Carlos Saldanha win an Oscar?
Home Alone,Chris Columbus,In which year did 'Home Alone' directed by Chris Columbus win an Oscar?
Avengers: Age of Ultron,Joss Whedon,In which year did 'Avengers: Age of Ultron' directed by Joss Whedon win an Oscar?
Fantasia,Paul Satterfield,In which year did 'Fantasia' directed by Paul Satterfield win an Oscar?
Fantasia,Wilfred Jackson,In which year did 'Fantasia' directed by Wilfred Jackson win an Oscar?
Fantasia,Norm Ferguson,In which year did 'Fantasia' directed by Norm Ferguson win an Oscar?
Fantasia,Ben Sharpsteen,In which year did 'Fantasia' directed by Ben Sharpsteen win an Oscar?
Fantasia,Bill Roberts,In which year did 'Fantasia' directed by Bill Roberts win an Oscar?
Fantasia,Jim Handley,In which year did 'Fantasia' directed by Jim Handley win an Oscar?
Fantasia,James Algar,In which year did 'Fantasia' directed by James Algar win an Oscar?
Fantasia,Hamilton Luske,In which year did 'Fantasia' directed by Hamilton Luske win an Oscar?
Fantasia,Ford Beebe Jr.,In which year did 'Fantasia' directed by Ford Beebe Jr. win an Oscar?
Fantasia,Ford Beebe,In which year did 'Fantasia' directed by Ford Beebe win an Oscar?
Fantasia,Samuel Armstrong,In which year did 'Fantasia' directed by Samuel Armstrong win an Oscar?
Fantasia,T. Hee,In which year did 'Fantasia' directed by T. Hee win an Oscar?
Mr Bean,Paul Weiland,In which year did 'Mr Bean' directed by Paul Weiland win an Oscar?
Mr Bean,John Birkin,In which year did 'Mr Bean' directed by John Birkin win an Oscar?
Star Wars: Episode II – Attack of the Clones,George Lucas,In which year did 'Star Wars: Episode II – Attack of the Clones' directed by George Lucas win an Oscar?
Star Wars: Episode VI – Return of the Jedi,Richard Marquand,In which year did 'Star Wars: Episode VI – Return of the Jedi' directed by Richard Marquand win an Oscar?
The Great Dictator,Charlie Chaplin,In which year did 'The Great Dictator' directed by Charlie Chaplin win an Oscar?
Cars,John Lasseter,In which year did 'Cars' directed by John Lasseter win an Oscar?
Cars,Joe Ranft,In which year did 'Cars' directed by Joe Ranft win an Oscar?
Harry Potter and the Deathly Hallows – Part 2,David Yates,In which year did 'Harry Potter and the Deathly Hallows – Part 2' directed by David Yates win an Oscar?
Rock Dog,Ash Brannon,In which year did 'Rock Dog' directed by Ash Brannon win an Oscar?
The Aristocats,Wolfgang Reitherman,In which year did 'The Aristocats' directed by Wolfgang Reitherman win an Oscar?
Captain America: The First Avenger,Joe Johnston,In which year did 'Captain America: The First Avenger' directed by Joe Johnston win an Oscar?
Hercules,John Musker,In which year did 'Hercules' directed by John Musker win an Oscar?
Hercules,Ron Clements,In which year did 'Hercules' directed by Ron Clements win an Oscar?
The Princess and the Frog,John Musker,In which year did 'The Princess and the Frog' directed by John Musker win an Oscar?
The Princess and the Frog,Ron Clements,In which year did 'The Princess and the Frog' directed by Ron Clements win an Oscar?
Taxi Driver,Martin Scorsese,In which year did 'Taxi Driver' directed by Martin Scorsese win an Oscar?
Skyfall,Sam Mendes,In which year did 'Skyfall' directed by Sam Mendes win an Oscar?
Thor,Kenneth Branagh,In which year did 'Thor' directed by Kenneth Branagh win an Oscar?
Die Hard,John McTiernan,In which year did 'Die Hard' directed by John McTiernan win an Oscar?
Stranger Things,Andrew Stanton,In which year did 'Stranger Things' directed by Andrew Stanton win an Oscar?
Sherlock,Rachel Talalay,In which year did 'Sherlock' directed by Rachel Talalay win an Oscar?
Sherlock,Paul McGuigan,In which year did 'Sherlock' directed by Paul McGuigan win an Oscar?
Sherlock,Nick Hurran,In which year did 'Sherlock' directed by Nick Hurran win an Oscar?
Sherlock,Euros Lyn,In which year did 'Sherlock' directed by Euros Lyn win an Oscar?
Stranger Things,Shawn Levy,In which year did 'Stranger Things' directed by Shawn Levy win an Oscar?
Madagascar,Eric Darnell,In which year did 'Madagascar' directed by Eric Darnell win an Emmy?
Madagascar,Tom McGrath,In which year did 'Madagascar' directed by Tom McGrath win an Emmy?
"Go, Dog. Go!",Andrew Duncan,"In which year did 'Go, Dog. Go!' directed by Andrew Duncan win an Emmy?"
"Go, Dog. Go!",Kiran Shangherra,"In which year did 'Go, Dog. Go!' directed by Kiran Shangherra win an Emmy?"
Titanic,James Cameron,In which year did 'Titanic' directed by James Cameron win an Emmy?
The Fox and the Hound,Art Stevens,In which year did 'The Fox and the Hound' directed by Art Stevens win an Emmy?
The Fox and the Hound,Richard Rich,In which year did 'The Fox and the Hound' directed by Richard Rich win an Emmy?
The Fox and the Hound,Ted Berman,In which year did 'The Fox and the Hound' directed by Ted Berman win an Emmy?
The Lion King,Roger Allers,In which year did 'The Lion King' directed by Roger Allers win an Emmy?
The Lion King,Rob Minkoff,In which year did 'The Lion King' directed by Rob Minkoff win an Emmy?
The Godfather,Francis Ford Coppola,In which year did 'The Godfather' directed by Francis Ford Coppola win an Emmy?
South Park,Trey Parker,In which year did 'South Park' directed by Trey Parker win an Emmy?
Avatar,James Cameron,In which year did 'Avatar' directed by James Cameron win an Emmy?
Bad Cat,Mehmet Kurtuluş,In which year did 'Bad Cat' directed by Mehmet Kurtuluş win an Emmy?
Snow White and the Seven Dwarfs,Ben Sharpsteen,In which year did 'Snow White and the Seven Dwarfs' directed by Ben Sharpsteen win an Emmy?
Snow White and the Seven Dwarfs,David Hand,In which year did 'Snow White and the Seven Dwarfs' directed by David Hand win an Emmy?
Snow White and the Seven Dwarfs,Larry Morey,In which year did 'Snow White and the Seven Dwarfs' directed by Larry Morey win an Emmy?
Snow White and the Seven Dwarfs,Percival C. Pearce,In which year did 'Snow White and the Seven Dwarfs' directed by Percival C. Pearce win an Emmy?
Snow White and the Seven Dwarfs,Wilfred Jackson,In which year did 'Snow White and the Seven Dwarfs' directed by Wilfred Jackson win an Emmy?
Snow White and the Seven Dwarfs,William Cottrell,In which year did 'Snow White and the Seven Dwarfs' directed by William Cottrell win an Emmy?
Liv and Maddie,Andy Fickman,In which year did 'Liv and Maddie' directed by Andy Fickman win an Emmy?
Toy Story,John Lasseter,In which year did 'Toy Story' directed by John Lasseter win an Emmy?
The Little Mermaid,John Musker,In which year did 'The Little Mermaid' directed by John Musker win an Emmy?
The Little Mermaid,Ron Clements,In which year did 'The Little Mermaid' directed by Ron Clements win an Emmy?
The Matrix,Lilly Wachowski,In which year did 'The Matrix' directed by Lilly Wachowski win an Emmy?
The Matrix,Lana Wachowski,In which year did 'The Matrix' directed by Lana Wachowski win an Emmy?
Bambi,Samuel Armstrong,In which year did 'Bambi' directed by Samuel Armstrong win an Emmy?
Bambi,Paul Satterfield,In which year did 'Bambi' directed by Paul Satterfield win an Emmy?
Bambi,Norman Wright,In which year did 'Bambi' directed by Norman Wright win an Emmy?
Bambi,Bill Roberts,In which year did 'Bambi' directed by Bill Roberts win an Emmy?
Bambi,David Hand,In which year did 'Bambi' directed by David Hand win an Emmy?
Bambi,James Algar,In which year did 'Bambi' directed by James Algar win an Emmy?
Bambi,Graham Heid,In which year did 'Bambi' directed by Graham Heid win an Emmy?
The Big Bang Theory,Mark Cendrowski,In which year did 'The Big Bang Theory' directed by Mark Cendrowski win an Emmy?
Tom and Jerry,William Hanna,In which year did 'Tom and Jerry' directed by William Hanna win an Emmy?
Shrek,Vicky Jenson,In which year did 'Shrek' directed by Vicky Jenson win an Emmy?
Shrek,Andrew Adamson,In which year did 'Shrek' directed by Andrew Adamson win an Emmy?
