domain,head_entity,tail_entity,ungrounded_question,grounded_question,ground_truth,head_sitelinks,tail_sitelinks
film,Adriano Celentano,Joan Lui,"When was the film ""Joan Lui"" released?","When was Adriano Celentano's film ""Joan Lui"" released?",1985-01-01,84,8
film,Adriano Celentano,"Robbery, Roman Style","When was the film ""Robbery, Roman Style"" released?","When was Adriano Celentano's film ""Robbery, Roman Style"" released?",1964-01-01,84,8
film,Agnès Varda,"7p., cuis., s. de b., ...à saisir","When was the film ""7p., cuis., s. de b., ...à saisir"" released?","When was Agnès Varda's film ""7p., cuis., s. de b., ...à saisir"" released?",1984-01-01,63,1
film,Agnès Varda,Black Panthers,"When was the film ""Black Panthers"" released?","When was Agnès Varda's film ""Black Panthers"" released?",1968-01-01,63,6
film,Agnès Varda,Documenteur,"When was the film ""Documenteur"" released?","When was Agnès Varda's film ""Documenteur"" released?",1981-01-01,63,5
film,Agnès Varda,Du côté de la côte,"When was the film ""Du côté de la côte"" released?","When was Agnès Varda's film ""Du côté de la côte"" released?",1958-01-01,63,3
film,Agnès Varda,Kung Fu Master,"When was the film ""Kung Fu Master"" released?","When was Agnès Varda's film ""Kung Fu Master"" released?",1988-01-01,63,7
film,Agnès Varda,Le lion volatil,"When was the film ""Le lion volatil"" released?","When was Agnès Varda's film ""Le lion volatil"" released?",2003-01-01,63,1
film,Agnès Varda,Les glaneurs et la glaneuse... deux ans après,"When was the film ""Les glaneurs et la glaneuse... deux ans après"" released?","When was Agnès Varda's film ""Les glaneurs et la glaneuse... deux ans après"" released?",2002-01-01,63,3
film,Agnès Varda,Lions Love,"When was the film ""Lions Love"" released?","When was Agnès Varda's film ""Lions Love"" released?",1969-01-01,63,7
film,Agnès Varda,L'opéra-mouffe,"When was the film ""L'opéra-mouffe"" released?","When was Agnès Varda's film ""L'opéra-mouffe"" released?",1958-01-01,63,4
film,Agnès Varda,Mural Murals,"When was the film ""Mural Murals"" released?","When was Agnès Varda's film ""Mural Murals"" released?",1982-01-01,63,6
film,Agnès Varda,Ô saisons ô chateaux,"When was the film ""Ô saisons ô chateaux"" released?","When was Agnès Varda's film ""Ô saisons ô chateaux"" released?",1958-01-01,63,3
film,Agnès Varda,Salut les Cubains,"When was the film ""Salut les Cubains"" released?","When was Agnès Varda's film ""Salut les Cubains"" released?",1963-01-01,63,4
film,Agnès Varda,Some Widows of Noirmoutier,"When was the film ""Some Widows of Noirmoutier"" released?","When was Agnès Varda's film ""Some Widows of Noirmoutier"" released?",2005-01-01,63,2
film,Agnès Varda,The Fiancés of the Bridge Mac Donald,"When was the film ""The Fiancés of the Bridge Mac Donald"" released?","When was Agnès Varda's film ""The Fiancés of the Bridge Mac Donald"" released?",1961-01-01,63,4
film,Agnès Varda,The So-called Caryatids,"When was the film ""The So-called Caryatids"" released?","When was Agnès Varda's film ""The So-called Caryatids"" released?",1984-01-01,63,3
film,Agnès Varda,The World of Jacques Demy,"When was the film ""The World of Jacques Demy"" released?","When was Agnès Varda's film ""The World of Jacques Demy"" released?",1995-01-01,63,5
film,Agnès Varda,The Young Girls Turn 25,"When was the film ""The Young Girls Turn 25"" released?","When was Agnès Varda's film ""The Young Girls Turn 25"" released?",1993-01-01,63,6
film,Agnès Varda,Ulysse,"When was the film ""Ulysse"" released?","When was Agnès Varda's film ""Ulysse"" released?",1982-01-01,63,2
film,Agnès Varda,Varda by Agnès,"When was the film ""Varda by Agnès"" released?","When was Agnès Varda's film ""Varda by Agnès"" released?",2019-02-13,63,8
film,Agnès Varda,Women Reply,"When was the film ""Women Reply"" released?","When was Agnès Varda's film ""Women Reply"" released?",1975-01-01,63,2
film,Agnès Varda,"Ydessa, les ours et etc...","When was the film ""Ydessa, les ours et etc..."" released?","When was Agnès Varda's film ""Ydessa, les ours et etc..."" released?",2004-01-01,63,2
film,Agnès Varda,"You've Got Beautiful Stairs, You Know...","When was the film ""You've Got Beautiful Stairs, You Know..."" released?","When was Agnès Varda's film ""You've Got Beautiful Stairs, You Know..."" released?",1986-01-01,63,1
film,Ai Weiwei,Beijing 2003,"When was the film ""Beijing 2003"" released?","When was Ai Weiwei's film ""Beijing 2003"" released?",2004-01-01,63,2
film,Ai Weiwei,Coronation,"When was the film ""Coronation"" released?","When was Ai Weiwei's film ""Coronation"" released?",2020-01-01,63,3
film,Ai Weiwei,Disturbing the Peace,"When was the film ""Disturbing the Peace"" released?","When was Ai Weiwei's film ""Disturbing the Peace"" released?",2009-01-01,63,1
film,Ai Weiwei,Human Flow,"When was the film ""Human Flow"" released?","When was Ai Weiwei's film ""Human Flow"" released?",2017-09-01,63,9
film,Aki Kaurismäki,Centro Histórico,"When was the film ""Centro Histórico"" released?","When was Aki Kaurismäki's film ""Centro Histórico"" released?",2012-01-01,59,3
film,Aki Kaurismäki,Ten Minutes Older: The Trumpet,"When was the film ""Ten Minutes Older: The Trumpet"" released?","When was Aki Kaurismäki's film ""Ten Minutes Older: The Trumpet"" released?",2002-05-18,59,3
film,Aki Kaurismäki,The Saimaa Gesture,"When was the film ""The Saimaa Gesture"" released?","When was Aki Kaurismäki's film ""The Saimaa Gesture"" released?",1981-01-01,59,5
film,Aki Kaurismäki,Total Balalaika Show,"When was the film ""Total Balalaika Show"" released?","When was Aki Kaurismäki's film ""Total Balalaika Show"" released?",1994-01-01,59,7
film,Aki Kaurismäki,Visions of Europe,"When was the film ""Visions of Europe"" released?","When was Aki Kaurismäki's film ""Visions of Europe"" released?",2004-01-01,59,6
film,Akira Kurosawa,Horse,"When was the film ""Horse"" released?","When was Akira Kurosawa's film ""Horse"" released?",1940-01-01,173,7
film,Akira Toriyama,Kosuke-sama Rikimaru-sama: Konpeitou no Ryuu,"When was the film ""Kosuke-sama Rikimaru-sama: Konpeitou no Ryuu"" released?","When was Akira Toriyama's film ""Kosuke-sama Rikimaru-sama: Konpeitou no Ryuu"" released?",1988-01-01,71,2
film,Alain Resnais,Against Oblivion,"When was the film ""Against Oblivion"" released?","When was Alain Resnais's film ""Against Oblivion"" released?",1991-01-01,64,6
film,Alain Resnais,I Want to Go Home,"When was the film ""I Want to Go Home"" released?","When was Alain Resnais's film ""I Want to Go Home"" released?",1989-01-01,64,8
film,Alain Resnais,Life of Riley,"When was the film ""Life of Riley"" released?","When was Alain Resnais's film ""Life of Riley"" released?",2014-02-10,64,7
film,Alain Resnais,No smoking,"When was the film ""No smoking"" released?","When was Alain Resnais's film ""No smoking"" released?",1993-01-01,64,2
film,Alain Resnais,Ouvert pour cause d'inventaire,"When was the film ""Ouvert pour cause d'inventaire"" released?","When was Alain Resnais's film ""Ouvert pour cause d'inventaire"" released?",1946-01-01,64,1
film,Alain Resnais,Pictura: An Adventure in Art,"When was the film ""Pictura: An Adventure in Art"" released?","When was Alain Resnais's film ""Pictura: An Adventure in Art"" released?",1951-01-01,64,7
film,Alain Resnais,Smoking,"When was the film ""Smoking"" released?","When was Alain Resnais's film ""Smoking"" released?",1993-12-15,64,0
film,Alain Resnais,You Ain't Seen Nothin' Yet!,"When was the film ""You Ain't Seen Nothin' Yet!"" released?","When was Alain Resnais's film ""You Ain't Seen Nothin' Yet!"" released?",2012-05-21,64,8
film,Alain Robbe-Grillet,Eden and After,"When was the film ""Eden and After"" released?","When was Alain Robbe-Grillet's film ""Eden and After"" released?",1970-01-01,55,9
film,Alain Robbe-Grillet,Gradiva,"When was the film ""Gradiva"" released?","When was Alain Robbe-Grillet's film ""Gradiva"" released?",2006-09-08,55,2
film,Alain Robbe-Grillet,L'Immortelle,"When was the film ""L'Immortelle"" released?","When was Alain Robbe-Grillet's film ""L'Immortelle"" released?",1963-01-01,55,9
film,Alain Robbe-Grillet,N. a pris les dés...,"When was the film ""N. a pris les dés..."" released?","When was Alain Robbe-Grillet's film ""N. a pris les dés..."" released?",1971-01-01,55,5
film,Alain Robbe-Grillet,Playing with Fire,"When was the film ""Playing with Fire"" released?","When was Alain Robbe-Grillet's film ""Playing with Fire"" released?",1975-02-15,55,7
film,Alain Robbe-Grillet,Successive Slidings of Pleasure,"When was the film ""Successive Slidings of Pleasure"" released?","When was Alain Robbe-Grillet's film ""Successive Slidings of Pleasure"" released?",1974-01-01,55,9
film,Alain Robbe-Grillet,The Blue Villa,"When was the film ""The Blue Villa"" released?","When was Alain Robbe-Grillet's film ""The Blue Villa"" released?",1995-01-01,55,5
film,Alain Robbe-Grillet,Trans-Europ-Express,"When was the film ""Trans-Europ-Express"" released?","When was Alain Robbe-Grillet's film ""Trans-Europ-Express"" released?",1966-01-01,55,9
film,Alan Alda,A New Life,"When was the film ""A New Life"" released?","When was Alan Alda's film ""A New Life"" released?",1988-01-01,67,8
film,Alan Arkin,Fire Sale,"When was the film ""Fire Sale"" released?","When was Alan Arkin's film ""Fire Sale"" released?",1977-06-09,73,5
film,Alan Arkin,Little Murders,"When was the film ""Little Murders"" released?","When was Alan Arkin's film ""Little Murders"" released?",1971-02-09,73,8
film,Alan Parker,Shoot the Moon,"When was the film ""Shoot the Moon"" released?","When was Alan Parker's film ""Shoot the Moon"" released?",1982-01-22,61,8
film,Albert Finney,Charlie Bubbles,"When was the film ""Charlie Bubbles"" released?","When was Albert Finney's film ""Charlie Bubbles"" released?",1968-02-11,64,8
film,Alberto Sordi,A Common Sense of Modesty,"When was the film ""A Common Sense of Modesty"" released?","When was Alberto Sordi's film ""A Common Sense of Modesty"" released?",1976-01-01,63,9
film,Alberto Sordi,Acquitted for Having Committed the Deed,"When was the film ""Acquitted for Having Committed the Deed"" released?","When was Alberto Sordi's film ""Acquitted for Having Committed the Deed"" released?",1992-01-01,63,3
film,Alberto Sordi,An Italian in America,"When was the film ""An Italian in America"" released?","When was Alberto Sordi's film ""An Italian in America"" released?",1967-01-01,63,6
film,Alberto Sordi,A Taxi Driver in New York,"When was the film ""A Taxi Driver in New York"" released?","When was Alberto Sordi's film ""A Taxi Driver in New York"" released?",1987-01-01,63,5
film,Alberto Sordi,Everybody in Jail,"When was the film ""Everybody in Jail"" released?","When was Alberto Sordi's film ""Everybody in Jail"" released?",1984-01-01,63,6
film,Alberto Sordi,Fumo di Londra,"When was the film ""Fumo di Londra"" released?","When was Alberto Sordi's film ""Fumo di Londra"" released?",1966-01-01,63,7
film,Alberto Sordi,Help Me,"When was the film ""Help Me"" released?","When was Alberto Sordi's film ""Help Me"" released?",1969-01-01,63,7
film,Alberto Sordi,I Know That You Know That I Know,"When was the film ""I Know That You Know That I Know"" released?","When was Alberto Sordi's film ""I Know That You Know That I Know"" released?",1982-01-01,63,8
film,Alberto Sordi,Il tassinaro,"When was the film ""Il tassinaro"" released?","When was Alberto Sordi's film ""Il tassinaro"" released?",1983-01-01,63,4
film,Alberto Sordi,Incontri proibiti,"When was the film ""Incontri proibiti"" released?","When was Alberto Sordi's film ""Incontri proibiti"" released?",1998-01-01,63,4
film,Alberto Sordi,Journey with Papa,"When was the film ""Journey with Papa"" released?","When was Alberto Sordi's film ""Journey with Papa"" released?",1982-01-01,63,6
film,Alberto Sordi,Nestor - Last Ride,"When was the film ""Nestor - Last Ride"" released?","When was Alberto Sordi's film ""Nestor - Last Ride"" released?",1994-01-01,63,4
film,Alberto Sordi,Polvere di stelle,"When was the film ""Polvere di stelle"" released?","When was Alberto Sordi's film ""Polvere di stelle"" released?",1973-01-01,63,8
film,Alberto Sordi,Where Are You Going on Holiday?,"When was the film ""Where Are You Going on Holiday?"" released?","When was Alberto Sordi's film ""Where Are You Going on Holiday?"" released?",1978-01-01,63,7
film,Alberto Sordi,While There's War There's Hope,"When was the film ""While There's War There's Hope"" released?","When was Alberto Sordi's film ""While There's War There's Hope"" released?",1974-01-01,63,8
film,Alejandro González Iñárritu,Flesh and Sand,"When was the film ""Flesh and Sand"" released?","When was Alejandro González Iñárritu's film ""Flesh and Sand"" released?",2017-05-01,73,8
film,Alejandro Jodorowsky,"Psychomagic, a Healing Art","When was the film ""Psychomagic, a Healing Art"" released?","When was Alejandro Jodorowsky's film ""Psychomagic, a Healing Art"" released?",2019-01-01,58,2
film,Alejandro Jodorowsky,Tusk,"When was the film ""Tusk"" released?","When was Alejandro Jodorowsky's film ""Tusk"" released?",1980-01-01,58,7
film,Alexei Navalny,Chaika,"When was the film ""Chaika"" released?","When was Alexei Navalny's film ""Chaika"" released?",2015-12-01,130,7
film,Alfonso Cuarón,The Possibility of Hope,"When was the film ""The Possibility of Hope"" released?","When was Alfonso Cuarón's film ""The Possibility of Hope"" released?",2007-01-01,70,3
film,Alfred Hitchcock,German Concentration Camps Factual Survey,"When was the film ""German Concentration Camps Factual Survey"" released?","When was Alfred Hitchcock's film ""German Concentration Camps Factual Survey"" released?",2014-01-01,184,7
film,Alfred Hitchcock,The Fighting Generation,"When was the film ""The Fighting Generation"" released?","When was Alfred Hitchcock's film ""The Fighting Generation"" released?",1944-01-01,184,8
film,Alfred Hitchcock,The Man Who Knew Too Much: The Secret Agent,"When was the film ""The Man Who Knew Too Much: The Secret Agent"" released?","When was Alfred Hitchcock's film ""The Man Who Knew Too Much: The Secret Agent"" released?",1935-01-01,184,0
film,Al Pacino,Chinese Coffee,"When was the film ""Chinese Coffee"" released?","When was Al Pacino's film ""Chinese Coffee"" released?",2000-01-01,132,9
film,Al Pacino,Salomé,"When was the film ""Salomé"" released?","When was Al Pacino's film ""Salomé"" released?",2013-01-01,132,4
film,Andrei Konchalovsky,The Boy and the Dove,"When was the film ""The Boy and the Dove"" released?","When was Andrei Konchalovsky's film ""The Boy and the Dove"" released?",1961-01-01,63,3
film,Andrei Tarkovsky,Voyage in Time,"When was the film ""Voyage in Time"" released?","When was Andrei Tarkovsky's film ""Voyage in Time"" released?",1983-05-09,100,9
film,Andrzej Wajda,Ceramika ilzecka,"When was the film ""Ceramika ilzecka"" released?","When was Andrzej Wajda's film ""Ceramika ilzecka"" released?",1951-01-01,78,4
film,Andrzej Wajda,Kiedy ty spisz,"When was the film ""Kiedy ty spisz"" released?","When was Andrzej Wajda's film ""Kiedy ty spisz"" released?",1952-01-01,78,2
film,Andrzej Wajda,"Krec! Jak kochasz, to krec!","When was the film ""Krec! Jak kochasz, to krec!"" released?","When was Andrzej Wajda's film ""Krec! Jak kochasz, to krec!"" released?",2010-01-01,78,4
film,Andrzej Wajda,Marek Edelman... And there was Love in the Ghetto,"When was the film ""Marek Edelman... And there was Love in the Ghetto"" released?","When was Andrzej Wajda's film ""Marek Edelman... And there was Love in the Ghetto"" released?",2019-05-11,78,0
film,Andrzej Wajda,Miss Nobody,"When was the film ""Miss Nobody"" released?","When was Andrzej Wajda's film ""Miss Nobody"" released?",1996-10-25,78,9
film,Andrzej Wajda,"Solidarność, Solidarność...","When was the film ""Solidarność, Solidarność..."" released?","When was Andrzej Wajda's film ""Solidarność, Solidarność..."" released?",2005-08-31,78,4
film,Andrzej Wajda,Sprawa Dantona,"When was the film ""Sprawa Dantona"" released?","When was Andrzej Wajda's film ""Sprawa Dantona"" released?",1983-01-01,78,0
film,Andrzej Wajda,The Crowned-Eagle Ring,"When was the film ""The Crowned-Eagle Ring"" released?","When was Andrzej Wajda's film ""The Crowned-Eagle Ring"" released?",1992-01-01,78,9
film,Andrzej Wajda,The French as Seen By...,"When was the film ""The French as Seen By..."" released?","When was Andrzej Wajda's film ""The French as Seen By..."" released?",1988-01-01,78,5
film,Andrzej Wajda,The Lesson of Polish Cinema,"When was the film ""The Lesson of Polish Cinema"" released?","When was Andrzej Wajda's film ""The Lesson of Polish Cinema"" released?",2002-01-01,78,2
film,Andrzej Wajda,Umarla klasa,"When was the film ""Umarla klasa"" released?","When was Andrzej Wajda's film ""Umarla klasa"" released?",1976-01-01,78,3
film,Andy Dick,Danny Roane: First Time Director,"When was the film ""Danny Roane: First Time Director"" released?","When was Andy Dick's film ""Danny Roane: First Time Director"" released?",2006-01-01,55,4
film,Andy Warhol,Batman Dracula,"When was the film ""Batman Dracula"" released?","When was Andy Warhol's film ""Batman Dracula"" released?",1964-01-01,178,8
film,Andy Warhol,Beauty No. 1,"When was the film ""Beauty No. 1"" released?","When was Andy Warhol's film ""Beauty No. 1"" released?",1965-01-01,178,2
film,Andy Warhol,Beauty No. 2,"When was the film ""Beauty No. 2"" released?","When was Andy Warhol's film ""Beauty No. 2"" released?",1965-01-01,178,5
film,Andy Warhol,Bike Boy,"When was the film ""Bike Boy"" released?","When was Andy Warhol's film ""Bike Boy"" released?",1967-01-01,178,3
film,Andy Warhol,Bufferin,"When was the film ""Bufferin"" released?","When was Andy Warhol's film ""Bufferin"" released?",1966-01-01,178,2
film,Andy Warhol,Camp,"When was the film ""Camp"" released?","When was Andy Warhol's film ""Camp"" released?",1965-01-01,178,5
film,Andy Warhol,Couch,"When was the film ""Couch"" released?","When was Andy Warhol's film ""Couch"" released?",1964-01-01,178,5
film,Andy Warhol,Eat,"When was the film ""Eat"" released?","When was Andy Warhol's film ""Eat"" released?",1964-07-16,178,9
film,Andy Warhol,Elvis at Ferus,"When was the film ""Elvis at Ferus"" released?","When was Andy Warhol's film ""Elvis at Ferus"" released?",1963-01-01,178,2
film,Andy Warhol,Four Stars,"When was the film ""Four Stars"" released?","When was Andy Warhol's film ""Four Stars"" released?",1967-01-01,178,8
film,Andy Warhol,Haircut,"When was the film ""Haircut"" released?","When was Andy Warhol's film ""Haircut"" released?",1964-01-01,178,4
film,Andy Warhol,Haircut No. 3,"When was the film ""Haircut No. 3"" released?","When was Andy Warhol's film ""Haircut No. 3"" released?",1963-01-01,178,1
film,Andy Warhol,Harlot,"When was the film ""Harlot"" released?","When was Andy Warhol's film ""Harlot"" released?",1964-01-01,178,4
film,Andy Warhol,Hedy,"When was the film ""Hedy"" released?","When was Andy Warhol's film ""Hedy"" released?",1966-01-01,178,1
film,Andy Warhol,Henry Geldzahler,"When was the film ""Henry Geldzahler"" released?","When was Andy Warhol's film ""Henry Geldzahler"" released?",1964-01-01,178,2
film,Andy Warhol,Imitation of Christ,"When was the film ""Imitation of Christ"" released?","When was Andy Warhol's film ""Imitation of Christ"" released?",1967-01-01,178,4
film,Andy Warhol,Jill and Freddy Dancing,"When was the film ""Jill and Freddy Dancing"" released?","When was Andy Warhol's film ""Jill and Freddy Dancing"" released?",1963-01-01,178,1
film,Andy Warhol,Kiss,"When was the film ""Kiss"" released?","When was Andy Warhol's film ""Kiss"" released?",1963-01-01,178,8
film,Andy Warhol,Kitchen,"When was the film ""Kitchen"" released?","When was Andy Warhol's film ""Kitchen"" released?",1966-01-01,178,5
film,Andy Warhol,L'Amour,"When was the film ""L'Amour"" released?","When was Andy Warhol's film ""L'Amour"" released?",1973-01-01,178,4
film,Andy Warhol,Lonesome Cowboys,"When was the film ""Lonesome Cowboys"" released?","When was Andy Warhol's film ""Lonesome Cowboys"" released?",1968-11-01,178,6
film,Andy Warhol,Lupe,"When was the film ""Lupe"" released?","When was Andy Warhol's film ""Lupe"" released?",1966-02-08,178,0
film,Andy Warhol,Mario Banana I,"When was the film ""Mario Banana I"" released?","When was Andy Warhol's film ""Mario Banana I"" released?",1964-01-01,178,1
film,Andy Warhol,Mario Banana II,"When was the film ""Mario Banana II"" released?","When was Andy Warhol's film ""Mario Banana II"" released?",1964-01-01,178,1
film,Andy Warhol,Moe Gets Tied Up,"When was the film ""Moe Gets Tied Up"" released?","When was Andy Warhol's film ""Moe Gets Tied Up"" released?",1966-01-01,178,1
film,Andy Warhol,"More Milk, Yvette","When was the film ""More Milk, Yvette"" released?","When was Andy Warhol's film ""More Milk, Yvette"" released?",1966-01-01,178,5
film,Andy Warhol,My Hustler,"When was the film ""My Hustler"" released?","When was Andy Warhol's film ""My Hustler"" released?",1965-01-01,178,5
film,Andy Warhol,Naomi's Birthday Party,"When was the film ""Naomi's Birthday Party"" released?","When was Andy Warhol's film ""Naomi's Birthday Party"" released?",1963-01-01,178,0
film,Andy Warhol,Outer And Inner Space,"When was the film ""Outer And Inner Space"" released?","When was Andy Warhol's film ""Outer And Inner Space"" released?",1966-01-01,178,0
film,Andy Warhol,Poor Little Rich Girl,"When was the film ""Poor Little Rich Girl"" released?","When was Andy Warhol's film ""Poor Little Rich Girl"" released?",1965-01-01,178,5
film,Andy Warhol,San Diego Surf,"When was the film ""San Diego Surf"" released?","When was Andy Warhol's film ""San Diego Surf"" released?",2012-01-01,178,5
film,Andy Warhol,Screen Test No. 1,"When was the film ""Screen Test No. 1"" released?","When was Andy Warhol's film ""Screen Test No. 1"" released?",1965-01-01,178,2
film,Andy Warhol,Soap Opera,"When was the film ""Soap Opera"" released?","When was Andy Warhol's film ""Soap Opera"" released?",1964-01-01,178,4
film,Andy Warhol,Space,"When was the film ""Space"" released?","When was Andy Warhol's film ""Space"" released?",1965-01-01,178,4
film,Andy Warhol,Tarzan And Jane Regained … Sort Of,"When was the film ""Tarzan And Jane Regained … Sort Of"" released?","When was Andy Warhol's film ""Tarzan And Jane Regained … Sort Of"" released?",1964-02-24,178,3
film,Andy Warhol,Taylor Mead's Ass,"When was the film ""Taylor Mead's Ass"" released?","When was Andy Warhol's film ""Taylor Mead's Ass"" released?",1964-01-01,178,3
film,Andy Warhol,The 13 Most Beautiful Boys,"When was the film ""The 13 Most Beautiful Boys"" released?","When was Andy Warhol's film ""The 13 Most Beautiful Boys"" released?",1965-01-01,178,2
film,Andy Warhol,The 13 Most Beautiful Women,"When was the film ""The 13 Most Beautiful Women"" released?","When was Andy Warhol's film ""The 13 Most Beautiful Women"" released?",1964-01-01,178,2
film,Andy Warhol,The Andy Warhol Story,"When was the film ""The Andy Warhol Story"" released?","When was Andy Warhol's film ""The Andy Warhol Story"" released?",1967-01-01,178,4
film,Andy Warhol,The Life of Juanita Castro,"When was the film ""The Life of Juanita Castro"" released?","When was Andy Warhol's film ""The Life of Juanita Castro"" released?",1965-03-22,178,4
film,Andy Warhol,The Nude Restaurant,"When was the film ""The Nude Restaurant"" released?","When was Andy Warhol's film ""The Nude Restaurant"" released?",1967-01-01,178,2
film,Andy Warhol,The Shopper,"When was the film ""The Shopper"" released?","When was Andy Warhol's film ""The Shopper"" released?",1968-01-01,178,0
film,Andy Warhol,The Velvet Underground and Nico: A Symphony of Sound,"When was the film ""The Velvet Underground and Nico: A Symphony of Sound"" released?","When was Andy Warhol's film ""The Velvet Underground and Nico: A Symphony of Sound"" released?",1966-01-01,178,8
film,Andy Warhol,The Velvet Underground Tarot Cards,"When was the film ""The Velvet Underground Tarot Cards"" released?","When was Andy Warhol's film ""The Velvet Underground Tarot Cards"" released?",1966-01-01,178,1
film,Andy Warhol,Tub Girls,"When was the film ""Tub Girls"" released?","When was Andy Warhol's film ""Tub Girls"" released?",1967-01-01,178,4
film,Angelina Jolie,A Place in Time,"When was the film ""A Place in Time"" released?","When was Angelina Jolie's film ""A Place in Time"" released?",2007-01-01,171,7
film,Ang Lee,Fine Line,"When was the film ""Fine Line"" released?","When was Ang Lee's film ""Fine Line"" released?",1984-01-01,83,1
film,Ang Lee,The Runner,"When was the film ""The Runner"" released?","When was Ang Lee's film ""The Runner"" released?",1980-01-01,83,1
film,Anjelica Huston,Bastard Out of Carolina,"When was the film ""Bastard Out of Carolina"" released?","When was Anjelica Huston's film ""Bastard Out of Carolina"" released?",1996-01-01,67,9
